step,ppl,full_ppl,average_compute,expected_compute,average_active_layers,average_width,unique_paths,top1_coverage,top4_coverage,top8_coverage,top16_coverage,router_entropy,router_confidence,collapse_warning
0,67.7584097830553,67.56357200227066,1.65234375,1.4814751148223877,3.75,211.5,12,0.34375,0.65625,0.875,1.0,1.6055588722229004,0.2219591587781906,
100,12.717366643298167,12.747589653581972,0.5,0.5871490240097046,3.0,64.0,1,1.0,1.0,1.0,1.0,0.3819175362586975,0.8739856481552124,single_path
200,11.21657652193469,11.302339362002648,0.375,0.3928394019603729,2.0,48.0,1,1.0,1.0,1.0,1.0,0.0758160948753357,0.9816126227378845,single_path
300,10.817601373914211,10.842976072218352,0.375,0.3777059018611908,2.0,48.0,1,1.0,1.0,1.0,1.0,0.020125502720475197,0.9968522787094116,single_path
