step,train_loss,val_ppl,avg_q_fanin,fanin_1_ratio,fanin_2_ratio,fanin_3_ratio,fanin_4_ratio,source_current_usage,source_previous_usage,source_earlier_usage,source_anchor_usage,q_mask_entropy,conditional_q_mask_entropy_token,unique_q_masks,top1_q_mask_coverage,top4_q_mask_coverage
0,4.193972587585449,65.83012249644939,2.6339111328125,0.00048828125,0.524658203125,0.3153076171875,0.1595458984375,0.96533203125,0.47119140625,0.228515625,0.9688720703125,1.3304505348205566,1.2908827469218522,12,0.5072021484375,0.9420166015625
100,2.6575214862823486,14.002988658933768,2.00439453125,0.18212890625,0.644287109375,0.16064453125,0.012939453125,0.704345703125,0.3221435546875,0.146484375,0.8314208984375,1.8640668392181396,1.5811655684374273,15,0.4676513671875,0.7559814453125
200,2.5586156845092773,12.524725314203948,1.7000732421875,0.361328125,0.5789794921875,0.0579833984375,0.001708984375,0.5938720703125,0.2369384765625,0.1014404296875,0.767822265625,1.8238017559051514,1.594704655231908,15,0.3917236328125,0.80029296875
300,2.483130693435669,11.81104263273557,1.6375732421875,0.4150390625,0.5394287109375,0.0384521484375,0.007080078125,0.609375,0.1815185546875,0.0867919921875,0.7598876953125,1.7637134790420532,1.5577020978089422,15,0.3895263671875,0.84130859375
