step,layer,avg_q_fanin,mean_head_mask_entropy,fanin_1_ratio,fanin_2_ratio,fanin_3_ratio,fanin_4_ratio,usage_current,usage_previous,usage_earlier,usage_anchor,probability_current,probability_previous,probability_earlier,probability_anchor
0,0,1.99853515625,0.009923726320266724,0.00146484375,0.99853515625,0.0,0.0,1.0,0.0,0.0,0.99853515625,0.4981300160288811,0.0,0.0,0.5018699765205383
0,1,1.99951171875,0.0035338611342012882,0.00048828125,0.99951171875,0.0,0.0,1.0,0.0,0.0,0.99951171875,0.5254502892494202,0.0,0.0,0.47454970329999924
0,2,2.91796875,0.3553682044148445,0.0,0.08203125,0.91796875,0.0,0.97607421875,0.97021484375,0.0,0.9716796875,0.35001980513334274,0.3326194956898689,0.0,0.3173607289791107
0,3,3.61962890625,1.185541033744812,0.0,0.0185546875,0.34326171875,0.63818359375,0.88525390625,0.91455078125,0.9140625,0.90576171875,0.23975740000605583,0.2495918683707714,0.2629012018442154,0.24774954840540886
100,0,1.99951171875,0.0035338611342012882,0.00048828125,0.99951171875,0.0,0.0,1.0,0.0,0.0,0.99951171875,0.49403514713048935,0.0,0.0,0.5059648603200912
100,1,1.58642578125,0.8955728262662888,0.41357421875,0.58642578125,0.0,0.0,0.6982421875,0.0,0.0,0.88818359375,0.3274766504764557,0.0,0.0,0.6725233495235443
100,2,2.01611328125,1.3932417631149292,0.19873046875,0.58642578125,0.21484375,0.0,0.552734375,0.59912109375,0.0,0.8642578125,0.22382093220949173,0.21143748983740807,0.0,0.5647415816783905
100,3,2.41552734375,1.6286455988883972,0.11572265625,0.40478515625,0.427734375,0.0517578125,0.56640625,0.689453125,0.5859375,0.57373046875,0.19291440583765507,0.21678543649613857,0.27926809154450893,0.31103209406137466
200,0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4982757419347763,0.0,0.0,0.5017242878675461
200,1,1.451171875,0.9846037030220032,0.548828125,0.451171875,0.0,0.0,0.59375,0.0,0.0,0.857421875,0.33182206749916077,0.0,0.0,0.6681779325008392
200,2,1.5732421875,1.4587126970291138,0.50048828125,0.42578125,0.07373046875,0.0,0.40771484375,0.4775390625,0.0,0.68798828125,0.24980762228369713,0.20426849275827408,0.0,0.5459238737821579
200,3,1.77587890625,1.6719014346599579,0.39599609375,0.43896484375,0.158203125,0.0068359375,0.3740234375,0.47021484375,0.40576171875,0.52587890625,0.1738756246631965,0.17557044699788094,0.29068014584481716,0.35987378284335136
300,0,1.99951171875,0.0035338611342012882,0.00048828125,0.99951171875,0.0,0.0,1.0,0.0,0.0,0.99951171875,0.5000777468085289,0.0,0.0,0.4999222755432129
300,1,1.4208984375,1.0139857083559036,0.5791015625,0.4208984375,0.0,0.0,0.61181640625,0.0,0.0,0.80908203125,0.3860521540045738,0.0,0.0,0.6139478534460068
300,2,1.49560546875,1.510911762714386,0.552734375,0.39892578125,0.04833984375,0.0,0.40185546875,0.40966796875,0.0,0.68408203125,0.2685251869261265,0.17873796075582504,0.0,0.5527368932962418
300,3,1.63427734375,1.4579844176769257,0.52783203125,0.33837890625,0.10546875,0.0283203125,0.423828125,0.31640625,0.34716796875,0.546875,0.2039477452635765,0.12859784997999668,0.24395383149385452,0.42350057791918516
