layer,average_fanin,fanin_1_ratio,fanin_2_ratio,fanin_3_ratio,fanin_4_ratio,usage_current,usage_previous,usage_earlier,usage_anchor
0,1.999786376953125,0.000213623046875,0.999786376953125,0.0,0.0,1.0,,,0.999786376953125
1,1.428985595703125,0.571014404296875,0.428985595703125,0.0,0.0,0.627532958984375,,,0.80145263671875
2,1.48675537109375,0.564544677734375,0.3841552734375,0.051300048828125,0.0,0.40814208984375,0.407379150390625,,0.671234130859375
3,1.66046142578125,0.513580322265625,0.34393310546875,0.110931396484375,0.03155517578125,0.431854248046875,0.325714111328125,0.350341796875,0.55255126953125
