node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
10,2,2,0.0013427734375,4.909090909090909,"{""1"": 0.09090909090909091, ""4"": 0.22727272727272727, ""5"": 0.4090909090909091, ""6"": 0.045454545454545456, ""7"": 0.22727272727272727}","[0.0, 0.0, 0.9090909090909091, 1.0, 0.8636363636363636, 0.5909090909090909, 0.45454545454545453, 0.6363636363636364, 0.45454545454545453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[8, 12], [12, 3], [2, 3], [40, 2], [11, 2]]","{""0"": 22}","[0.004882514494964907, 0.0015257857796765334, 0.0, 0.0003051571559353067, 0.0]",0.001502498984336853,-0.10577067732810974
11,2,3,0.11114501953125,2.3640856672158157,"{""1"": 0.015376166941241077, ""2"": 0.7073036792970895, ""3"": 0.18835804503020318, ""4"": 0.07907742998352553, ""5"": 0.006589785831960461, ""6"": 0.0032948929159802307}","[0.004393190554640308, 0.0, 0.99945085118067, 0.9346512904997254, 0.06589785831960461, 0.07468423942888523, 0.1971444261394838, 0.08511806699615596, 0.0027457440966501922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 177], [32, 147], [27, 123], [26, 109], [5, 94], [30, 86]]","{""1"": 241, ""3"": 194, ""6"": 199, ""7"": 286, ""0"": 243, ""2"": 222, ""5"": 221, ""4"": 215}","[0.15166310649984743, 0.11382361916386939, 0.10347985347985347, 0.08422337503814464, 0.10253280439426304]",-0.01739940047264099,-0.10140052437782288
12,3,0,0.02069091796875,3.4926253687315634,"{""1"": 0.0058997050147492625, ""2"": 0.10914454277286136, ""3"": 0.4306784660766962, ""4"": 0.3421828908554572, ""5"": 0.08849557522123894, ""6"": 0.0058997050147492625, ""7"": 0.011799410029498525, ""8"": 0.0058997050147492625}","[0.017699115044247787, 0.0, 0.8820058997050148, 0.9056047197640118, 0.16519174041297935, 0.11209439528023599, 0.8348082595870207, 0.2949852507374631, 0.035398230088495575, 0.14749262536873156, 0.0, 0.0, 0.09734513274336283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 73], [32, 56], [10, 51], [35, 36], [5, 33], [13, 26], [20, 16], [8, 11]]","{""1"": 56, ""3"": 38, ""6"": 23, ""7"": 22, ""0"": 72, ""2"": 54, ""4"": 46, ""5"": 28}","[0.056454073848031736, 0.014342386328959414, 0.01282051282051282, 0.00732377174244736, 0.012511443393347574]",0.0664886012673378,-0.08614687621593475
13,3,1,0.08673095703125,2.644616467276566,"{""1"": 0.025334271639690358, ""2"": 0.5876143560872625, ""3"": 0.18296973961998592, ""4"": 0.13159746657283602, ""5"": 0.06615059817030261, ""6"": 0.0063335679099225895}","[0.007741027445460943, 0.0, 0.94018296973962, 0.9831104855735397, 0.0, 0.2765657987332864, 0.1836734693877551, 0.22448979591836735, 0.0, 0.024630541871921183, 0.0, 0.0, 0.00422237860661506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[13, 162], [21, 162], [10, 125], [27, 122], [26, 109], [32, 105], [30, 86], [17, 66]]","{""1"": 189, ""0"": 199, ""3"": 141, ""7"": 256, ""5"": 179, ""2"": 157, ""4"": 145, ""6"": 155}","[0.09765028989929814, 0.08941104668904486, 0.08455433455433456, 0.07354287458040891, 0.08849557522123894]",-0.051950979977846146,-0.038974858820438385
14,3,2,0.10394287109375,3.0135055783910745,"{""1"": 0.0369935408103347, ""2"": 0.2759835584263065, ""3"": 0.4004697592483852, ""4"": 0.2207868467410452, ""5"": 0.0546095126247798, ""6"": 0.011156782149148562}","[0.010569583088667059, 0.0, 0.9436288901937757, 0.7592483852025836, 0.008807985907222548, 0.7163828537874339, 0.35936582501467995, 0.15032295948326482, 0.0, 0.024662360540223135, 0.0, 0.0, 0.040516735173223725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 154], [32, 144], [27, 123], [26, 109], [30, 86], [20, 71]]","{""1"": 223, ""3"": 184, ""6"": 189, ""7"": 280, ""0"": 214, ""2"": 202, ""5"": 209, ""4"": 202}","[0.13579493439121149, 0.1003967043027159, 0.10073260073260074, 0.0823924321025328, 0.1003967043027159]",0.017533738166093826,-0.04514371231198311
15,3,3,0.89801025390625,1.3179501121457216,"{""1"": 0.74281247876028, ""2"": 0.21776660096513287, ""3"": 0.022021341670631415, ""4"": 0.013933256303948888, ""5"": 0.0029905525725548833, ""6"": 0.0004757697274519133}","[0.05471351865697003, 0.0, 0.021069802215727587, 0.05063549242166791, 0.5774485149187794, 0.25671175151226805, 0.013389519472575273, 0.0009515394549038266, 0.014612927343165908, 0.04472235438047985, 0.27547067219465776, 0.0001359342078434038, 0.008088085366682526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1841, ""1"": 1827, ""2"": 1847, ""3"": 1871, ""4"": 1848, ""5"": 1843, ""6"": 1862, ""7"": 1774}","[0.8642050656087885, 0.9032651815685078, 0.9014041514041514, 0.9188281965212084, 0.9023497101007019]",0.08882737159729004,-0.03291629999876022
16,4,0,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.05462028086185455
17,4,1,0.0946044921875,3.034838709677419,"{""1"": 0.08645161290322581, ""2"": 0.2793548387096774, ""3"": 0.28774193548387095, ""4"": 0.23806451612903226, ""5"": 0.07677419354838709, ""6"": 0.03096774193548387, ""7"": 0.0006451612903225806}","[0.08, 0.0, 0.0, 0.0, 0.0, 0.37290322580645163, 0.7625806451612903, 0.712258064516129, 0.0, 0.34580645161290324, 0.0, 0.0, 0.21483870967741936, 0.03354838709677419, 0.014838709677419355, 0.49806451612903224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 179], [13, 173], [32, 135], [10, 125], [27, 122], [26, 109], [30, 86], [31, 66]]","{""1"": 205, ""3"": 155, ""6"": 171, ""0"": 203, ""7"": 262, ""5"": 194, ""2"": 181, ""4"": 179}","[0.11016173329264571, 0.0958193469636863, 0.09523809523809523, 0.07812023191943851, 0.09368324687213915]",0.004173724912106991,-0.03627123311161995
18,4,2,0.88671875,1.1860545154185023,"{""1"": 0.8323237885462555, ""2"": 0.15212004405286345, ""3"": 0.013215859030837005, ""4"": 0.0018584801762114537, ""5"": 0.0004818281938325991}","[0.20931993392070486, 0.0, 0.0, 0.0, 0.0, 0.38594438325991187, 0.026844713656387666, 0.0015143171806167401, 0.016726321585903085, 0.035104625550660795, 0.4076954845814978, 0.00013766519823788548, 0.007778083700440528, 0.0002064977973568282, 0.0, 0.0003441629955947137, 0.09443832599118943, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2480], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1827, ""1"": 1799, ""2"": 1823, ""3"": 1852, ""4"": 1825, ""5"": 1816, ""6"": 1841, ""7"": 1745}","[0.8581019224900824, 0.8983826670735429, 0.898962148962149, 0.8873970094598719, 0.8907537381751602]",0.07364527136087418,-0.008687203750014305
19,4,3,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.05877465754747391
20,5,0,0.58941650390625,1.2404473438956198,"{""1"": 0.8208553380967174, ""2"": 0.12529771150460806, ""3"": 0.04649477063270167, ""4"": 0.007248627938283111, ""5"": 0.00010355182768975873}","[0.06969038003520762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03065134099616858, 0.3996065030547789, 0.00031065548306927616, 0.04556280418349384, 0.023195609402505955, 0.009837423630527078, 0.023402713057885473, 0.6118877498187844, 0.0, 0.004659832246039142, 0.021642331987159574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1312], [53, 885], [39, 838], [47, 713], [0, 647], [51, 331], [6, 321]]","{""0"": 1356, ""1"": 1273, ""2"": 1222, ""3"": 1198, ""4"": 1170, ""5"": 1172, ""6"": 1167, ""7"": 1099}","[0.5190723222459567, 0.5148001220628624, 0.5637973137973138, 0.720476045163259, 0.6289288983826671]",0.019600549712777138,-0.0400858074426651
21,5,1,0.012939453125,2.1650943396226414,"{""1"": 0.2830188679245283, ""2"": 0.27358490566037735, ""3"": 0.4386792452830189, ""4"": 0.0047169811320754715}","[0.3867924528301887, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9433962264150944, 0.0, 0.0, 0.660377358490566, 0.0, 0.0, 0.15566037735849056, 0.0, 0.0, 0.018867924528301886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[10, 63], [27, 51], [21, 48], [32, 36], [13, 8], [15, 5], [5, 1]]","{""0"": 10, ""4"": 29, ""7"": 79, ""3"": 13, ""6"": 28, ""5"": 26, ""1"": 14, ""2"": 13}","[0.03509307293256027, 0.016173329264571254, 0.0057997557997558, 0.0045773573390296, 0.003051571559353067]",0.2199041247367859,-0.029015202075242996
22,5,2,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.027139129117131233
23,5,3,0.0970458984375,2.5157232704402515,"{""1"": 0.14150943396226415, ""2"": 0.4320754716981132, ""3"": 0.2408805031446541, ""4"": 0.1440251572327044, ""5"": 0.03773584905660377, ""6"": 0.0037735849056603774}","[0.2710691823899371, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4358490566037736, 0.0, 0.0, 0.5893081761006289, 0.052830188679245285, 0.4628930817610063, 0.60062893081761, 0.0012578616352201257, 0.0, 0.1018867924528302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 188], [13, 183], [32, 131], [10, 129], [27, 123], [26, 109], [30, 86], [20, 70]]","{""1"": 206, ""3"": 163, ""6"": 180, ""7"": 269, ""0"": 201, ""5"": 198, ""2"": 182, ""4"": 191}","[0.11595971925541654, 0.09856576136710406, 0.09676434676434677, 0.07903570338724443, 0.09490387549588038]",-0.013913222588598728,-0.05443400517106056
24,6,0,0.2298583984375,1.3603292618162506,"{""1"": 0.7450876261285183, ""2"": 0.16834838024429102, ""3"": 0.06930430164630907, ""4"": 0.015666489644184812, ""5"": 0.0015932023366967605}","[0.14206054168879448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058417419012214554, 0.0605416887944769, 0.120817843866171, 0.7480084970791291, 0.0, 0.048327137546468404, 0.0015932023366967605, 0.0, 0.1009028146574615, 0.0002655337227827934, 0.0, 0.07939458311205523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [0, 647], [21, 114], [32, 73], [13, 73], [35, 49], [20, 38], [31, 33]]","{""0"": 486, ""1"": 477, ""2"": 481, ""3"": 460, ""4"": 476, ""5"": 462, ""6"": 442, ""7"": 482}","[0.10711016173329264, 0.040891058895331095, 0.20512820512820512, 0.4519377479401892, 0.34421727189502593]",0.047032102942466736,-0.05972515791654587
25,6,1,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.03512732312083244
26,6,2,0.8675537109375,1.3383987617841564,"{""1"": 0.7019136063036443, ""2"": 0.25946250175882934, ""3"": 0.0372871816518925, ""4"": 0.0009849444209933868, ""5"": 0.0003517658646404953}","[0.6592092303362882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008864499788940482, 0.0007035317292809906, 0.0038694245110454484, 0.4262698747713522, 0.0, 0.0018291824961305756, 0.1860137892218939, 0.0, 0.05128746306458421, 0.0, 0.0, 0.0003517658646404953, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2397], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1747, ""1"": 1783, ""2"": 1797, ""3"": 1829, ""4"": 1772, ""5"": 1778, ""6"": 1809, ""7"": 1699}","[0.8736649374427831, 0.9008239243210253, 0.8614163614163615, 0.8495575221238938, 0.8523039365273115]",0.033695146441459656,0.0009090334642678499
27,6,3,0.06640625,1.786764705882353,"{""1"": 0.4476102941176471, ""2"": 0.36121323529411764, ""3"": 0.1488970588235294, ""4"": 0.04136029411764706, ""5"": 0.0009191176470588235}","[0.5735294117647058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5772058823529411, 0.43933823529411764, 0.0, 0.0, 0.001838235294117647, 0.0, 0.0, 0.0, 0.12316176470588236, 0.0, 0.07169117647058823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[10, 123], [21, 116], [13, 113], [27, 109], [32, 88], [26, 87], [30, 83], [17, 64]]","{""0"": 131, ""3"": 109, ""4"": 116, ""5"": 146, ""6"": 126, ""7"": 195, ""2"": 124, ""1"": 141}","[0.06591394568202624, 0.06499847421422032, 0.06623931623931624, 0.05889533109551419, 0.07598413182789136]",-0.02013104036450386,-0.07074487954378128
28,7,0,0.06427001953125,1.8537511870845205,"{""1"": 0.47293447293447294, ""2"": 0.2725546058879392, ""3"": 0.18233618233618235, ""4"": 0.0721747388414055}","[0.6695156695156695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26875593542260207, 0.0, 0.0, 0.000949667616334283, 0.18803418803418803, 0.0, 0.36562203228869894, 0.013295346628679962, 0.0, 0.0, 0.3475783475783476, 0.0, 0.0, 0.0, 0.0]","[[10, 119], [21, 114], [13, 113], [27, 109], [26, 87], [30, 83], [32, 75], [17, 64]]","{""0"": 114, ""3"": 105, ""4"": 116, ""5"": 142, ""6"": 123, ""7"": 192, ""2"": 124, ""1"": 137}","[0.06469331705828502, 0.0640830027464144, 0.06379731379731379, 0.055538602380225816, 0.0732377174244736]",0.04860469698905945,-0.060411471873521805
29,7,1,0.0823974609375,1.3718518518518519,"{""1"": 0.6955555555555556, ""2"": 0.24074074074074073, ""3"": 0.06074074074074074, ""4"": 0.0022222222222222222, ""5"": 0.0007407407407407407}","[0.8288888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04296296296296296, 0.09555555555555556, 0.0, 0.1674074074074074, 0.0007407407407407407, 0.0, 0.1562962962962963, 0.03185185185185185, 0.0, 0.0044444444444444444, 0.0437037037037037, 0.0, 0.0, 0.0, 0.0]","[[45, 202], [44, 191], [0, 167], [40, 157], [54, 142], [49, 113], [5, 83], [10, 53]]","{""1"": 159, ""2"": 177, ""3"": 166, ""4"": 160, ""5"": 184, ""0"": 178, ""6"": 165, ""7"": 161}","[0.07689960329569728, 0.10100701861458651, 0.08791208791208792, 0.08880073237717424, 0.057369545315837656]",0.11517329514026642,-0.17302905023097992
30,7,2,0.87677001953125,1.4013922728854855,"{""1"": 0.6384963452836756, ""2"": 0.3253045596937, ""3"": 0.032718412808910545, ""4"": 0.0032718412808910545, ""5"": 0.00020884093282283329}","[0.3305951966585451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026244343891402715, 0.42833275321963105, 0.0, 0.277201531500174, 0.0, 0.0, 0.028123912286808214, 0.007866341802993386, 0.0, 0.30254089801601114, 0.0004872955099199443, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1840, ""1"": 1799, ""2"": 1795, ""3"": 1811, ""4"": 1819, ""5"": 1752, ""6"": 1805, ""7"": 1744}","[0.8971620384498017, 0.8623741226731767, 0.8690476190476191, 0.8751907232224596, 0.8800732377174245]",0.04022686928510666,-0.01652032881975174
31,7,3,0.052978515625,1.7465437788018434,"{""1"": 0.47465437788018433, ""2"": 0.33986175115207373, ""3"": 0.1497695852534562, ""4"": 0.03571428571428571}","[0.7960829493087558, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29147465437788017, 0.0, 0.0, 0.010368663594470046, 0.0587557603686636, 0.0, 0.15092165898617513, 0.04838709677419355, 0.0, 0.002304147465437788, 0.3882488479262673, 0.0, 0.0, 0.0, 0.0]","[[10, 125], [0, 120], [32, 83], [21, 82], [13, 78], [27, 55], [17, 47], [26, 42]]","{""0"": 121, ""3"": 63, ""4"": 84, ""5"": 127, ""6"": 101, ""7"": 156, ""2"": 96, ""1"": 120}","[0.055538602380225816, 0.039975587427525175, 0.042735042735042736, 0.06896551724137931, 0.05767470247177296]",0.022904621437191963,-0.08272267878055573
