layer,average_fanin,fanin_1_ratio,fanin_2_ratio,fanin_3_ratio,fanin_4_ratio,usage_current,usage_previous,usage_earlier,usage_anchor
0,1.17919921875,0.82080078125,0.17919921875,0.0,0.0,0.561309814453125,,,0.617889404296875
1,1.433074951171875,0.566925048828125,0.433074951171875,0.0,0.0,0.65765380859375,,,0.775421142578125
2,2.096954345703125,0.378021240234375,0.147003173828125,0.4749755859375,0.0,0.715118408203125,0.652801513671875,,0.729034423828125
3,3.248077392578125,0.229827880859375,0.018646240234375,0.025146484375,0.72637939453125,0.775787353515625,0.819610595703125,0.819000244140625,0.83367919921875
