layer,head,average_fanin,fanin_1_ratio,fanin_2_ratio,fanin_3_ratio,fanin_4_ratio
0,0,1.171875,0.828125,0.171875,0.0,0.0
0,1,1.1776123046875,0.8223876953125,0.1776123046875,0.0,0.0
0,2,1.20166015625,0.79833984375,0.20166015625,0.0,0.0
0,3,1.1656494140625,0.8343505859375,0.1656494140625,0.0,0.0
1,0,1.5172119140625,0.4827880859375,0.5172119140625,0.0,0.0
1,1,1.4844970703125,0.5155029296875,0.4844970703125,0.0,0.0
1,2,1.5029296875,0.4970703125,0.5029296875,0.0,0.0
1,3,1.2276611328125,0.7723388671875,0.2276611328125,0.0,0.0
2,0,1.8709716796875,0.5399169921875,0.0491943359375,0.410888671875,0.0
2,1,1.934814453125,0.412109375,0.240966796875,0.346923828125,0.0
2,2,2.218505859375,0.2972412109375,0.18701171875,0.5157470703125,0.0
2,3,2.363525390625,0.2628173828125,0.11083984375,0.6263427734375,0.0
3,0,3.2818603515625,0.220947265625,0.0186767578125,0.0179443359375,0.742431640625
3,1,3.2315673828125,0.24072265625,0.01611328125,0.0140380859375,0.7291259765625
3,2,3.2159423828125,0.240966796875,0.0201416015625,0.0208740234375,0.718017578125
3,3,3.262939453125,0.2166748046875,0.0196533203125,0.0477294921875,0.7159423828125
