step,layer,avg_q_fanin,mean_head_mask_entropy,fanin_1_ratio,fanin_2_ratio,fanin_3_ratio,fanin_4_ratio,usage_current,usage_previous,usage_earlier,usage_anchor,probability_current,probability_previous,probability_earlier,probability_anchor
0,0,1.2265625,1.0604541897773743,0.7734375,0.2265625,0.0,0.0,0.58544921875,0.0,0.0,0.64111328125,0.4968792647123337,0.0,0.0,0.4978327676653862
0,1,1.3125,1.0615464746952057,0.6875,0.3125,0.0,0.0,0.6982421875,0.0,0.0,0.6142578125,0.5145731568336487,0.0,0.0,0.5020482093095779
0,2,1.5791015625,1.85542830824852,0.552734375,0.3154296875,0.1318359375,0.0,0.56396484375,0.52587890625,0.0,0.4892578125,0.5025082007050514,0.49829429388046265,0.0,0.4944275766611099
0,3,2.138671875,2.5991677045822144,0.2880859375,0.3642578125,0.2685546875,0.0791015625,0.5,0.52197265625,0.5703125,0.54638671875,0.4995315447449684,0.503586895763874,0.5064655542373657,0.502634659409523
100,0,1.2255859375,1.046755075454712,0.7744140625,0.2255859375,0.0,0.0,0.57763671875,0.0,0.0,0.64794921875,0.4118479862809181,0.0,0.0,0.41425085812807083
100,1,1.45654296875,1.0222271084785461,0.54345703125,0.45654296875,0.0,0.0,0.650390625,0.0,0.0,0.80615234375,0.5103244408965111,0.0,0.0,0.534262627363205
100,2,1.97705078125,1.3955675959587097,0.375,0.27294921875,0.35205078125,0.0,0.626953125,0.6044921875,0.0,0.74560546875,0.512922391295433,0.528575524687767,0.0,0.5413494855165482
100,3,2.9443359375,1.3993759155273438,0.2578125,0.05224609375,0.177734375,0.51220703125,0.75537109375,0.7314453125,0.71533203125,0.7421875,0.5357638299465179,0.5597131848335266,0.5713180527091026,0.5926577895879745
200,0,1.15283203125,1.0028156787157059,0.84716796875,0.15283203125,0.0,0.0,0.54931640625,0.0,0.0,0.603515625,0.3327360674738884,0.0,0.0,0.3305188789963722
200,1,1.4208984375,1.0444978177547455,0.5791015625,0.4208984375,0.0,0.0,0.6865234375,0.0,0.0,0.734375,0.5353150069713593,0.0,0.0,0.5551360696554184
200,2,2.33935546875,1.1163158565759659,0.2822265625,0.09619140625,0.62158203125,0.0,0.81494140625,0.71826171875,0.0,0.80615234375,0.5887011736631393,0.6083154529333115,0.0,0.6356182247400284
200,3,3.28271484375,0.851901113986969,0.220703125,0.01904296875,0.01708984375,0.7431640625,0.8291015625,0.8486328125,0.78564453125,0.8193359375,0.6693783104419708,0.6937906891107559,0.7114070504903793,0.7595400959253311
300,0,1.2001953125,1.039525181055069,0.7998046875,0.2001953125,0.0,0.0,0.580078125,0.0,0.0,0.6201171875,0.3553589731454849,0.0,0.0,0.3535035699605942
300,1,1.4091796875,1.0439710021018982,0.5908203125,0.4091796875,0.0,0.0,0.64794921875,0.0,0.0,0.76123046875,0.5053033456206322,0.0,0.0,0.5632465332746506
300,2,2.072265625,1.4189713299274445,0.39794921875,0.1318359375,0.47021484375,0.0,0.7041015625,0.63623046875,0.0,0.73193359375,0.5560194402933121,0.5729888677597046,0.0,0.5870037525892258
300,3,3.17236328125,1.0075406581163406,0.25439453125,0.0185546875,0.02734375,0.69970703125,0.75439453125,0.79833984375,0.791015625,0.82861328125,0.6325853019952774,0.6612827926874161,0.6834490448236465,0.7268103063106537
