request,layer,head,learned_nll,frozen_learned_mask_nll,oracle_nll,oracle_gain_vs_frozen_mask,oracle_mask_id,oracle_fanin
0,0,0,2.3854403495788574,2.3854405879974365,2.3854405879974365,0.0,1,1
0,0,1,2.3854403495788574,2.3854405879974365,2.3854405879974365,0.0,1,1
0,0,2,2.3854403495788574,2.3854405879974365,2.3854405879974365,0.0,1,1
0,0,3,2.3854403495788574,2.3854405879974365,2.3854405879974365,0.0,1,1
0,1,0,2.3854403495788574,2.3854405879974365,2.385758399963379,-0.0003178119659423828,9,2
0,1,1,2.3854403495788574,2.3854405879974365,2.3831331729888916,0.002307415008544922,8,1
0,1,2,2.3854403495788574,2.3854405879974365,2.3875977993011475,-0.0021572113037109375,9,2
0,1,3,2.3854403495788574,2.3854405879974365,2.385035753250122,0.0004048347473144531,9,2
0,2,0,2.3854403495788574,2.3854405879974365,2.384349822998047,0.0010907649993896484,1,1
0,2,1,2.3854403495788574,2.3854405879974365,2.3837461471557617,0.0016944408416748047,10,2
0,2,2,2.3854403495788574,2.3854405879974365,2.3779940605163574,0.0074465274810791016,8,1
0,2,3,2.3854403495788574,2.3854405879974365,2.3838794231414795,0.0015611648559570312,8,1
0,3,0,2.3854403495788574,2.3854405879974365,2.384817600250244,0.0006229877471923828,4,1
0,3,1,2.3854403495788574,2.3854405879974365,2.384932041168213,0.0005085468292236328,12,2
0,3,2,2.3854403495788574,2.3854405879974365,2.3850393295288086,0.0004012584686279297,4,1
0,3,3,2.3854403495788574,2.3854405879974365,2.38362979888916,0.0018107891082763672,8,1
