layer,head,current,previous,earlier,anchor,prob_current,prob_previous,prob_earlier,prob_anchor
0,0,0.6866455078125,,,0.4852294921875,0.31508368253707886,,,0.2995535433292389
0,1,0.5052490234375,,,0.67236328125,0.2998206317424774,,,0.29956674575805664
0,2,0.55419921875,,,0.6474609375,0.38367921113967896,,,0.3941202461719513
0,3,0.4991455078125,,,0.66650390625,0.35202139616012573,,,0.3535560965538025
1,0,0.7347412109375,,,0.782470703125,0.5341484546661377,,,0.6384477615356445
1,1,0.6160888671875,,,0.868408203125,0.5023335218429565,,,0.5758835673332214
1,2,0.72998046875,,,0.77294921875,0.5397946238517761,,,0.5302399396896362
1,3,0.5498046875,,,0.6778564453125,0.465442955493927,,,0.5442121028900146
2,0,0.5675048828125,0.527099609375,,0.7763671875,0.5304275751113892,0.5402343273162842,,0.5905183553695679
2,1,0.6968994140625,0.6063232421875,,0.631591796875,0.5250958204269409,0.5173110961914062,,0.5363978147506714
2,2,0.6458740234375,0.74365234375,,0.8289794921875,0.595426082611084,0.6498720049858093,,0.6535319685935974
2,3,0.9501953125,0.734130859375,,0.67919921875,0.6149626970291138,0.6296745538711548,,0.5994299650192261
3,0,0.7469482421875,0.7584228515625,0.811767578125,0.9647216796875,0.679645299911499,0.6919279098510742,0.7238787412643433,0.762230396270752
3,1,0.738037109375,0.8450927734375,0.8516845703125,0.7967529296875,0.6357946395874023,0.6901958584785461,0.7284179925918579,0.7598543167114258
3,2,0.8526611328125,0.7396240234375,0.8218994140625,0.8017578125,0.6302222013473511,0.6863899827003479,0.7286101579666138,0.7436549663543701
3,3,0.7655029296875,0.935302734375,0.7906494140625,0.771484375,0.6510415077209473,0.6514672040939331,0.6158667206764221,0.6985612511634827
