step,graph_entropy,unique_graphs,top1_graph_coverage,top4_graph_coverage,top8_graph_coverage
0,-0.0,1,1.0,1.0,1.0
1,2.1184259182133127,36,0.276275634765625,0.762939453125,0.906402587890625
2,2.9914832731907413,92,0.179901123046875,0.522491455078125,0.699127197265625
3,3.7297115517533066,175,0.101226806640625,0.302734375,0.488983154296875
