path,cross_entropy,perplexity,batches,batch_size,block_size
dynamic,2.11002277135849,8.24842911042438,20,16,64
cached,2.3705772757530212,10.703569412078783,20,16,64
dense_full,2.8744310975074767,17.715342951371202,20,16,64
