path,mean_ms,median_ms,tokens_per_second,mean_active_atoms,mean_active_channels,mean_active_ratio,router_entropy,checkpoint,iter,batch_size,block_size,tokens,dtype,max_abs_diff_grouped_vs_dense_mask,width_128_fraction,width_256_fraction,width_512_fraction
dense_full,11.587078999946243,11.479499999040854,88374.30037412801,8.0,512.0,1.0,0.0,ckpt.pt,900,16,64,1024,float16,0.0,1.0,0.0,0.0
dense_mask,16.457909000018844,16.317600000547827,62219.32567489755,2.0,128.0,0.25,0.0,ckpt.pt,900,16,64,1024,float16,0.0,1.0,0.0,0.0
grouped,8.147290999877441,8.16685000063444,125685.9488651386,2.0,128.0,0.25,0.0,ckpt.pt,900,16,64,1024,float16,0.0,1.0,0.0,0.0
