node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
0,0,0,0.73504638671875,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 1289], [43, 1233], [58, 987], [53, 868], [57, 749], [46, 709], [52, 708], [56, 671]]","{""0"": 1022, ""1"": 1175, ""2"": 1311, ""3"": 1450, ""4"": 1717, ""5"": 1755, ""6"": 1788, ""7"": 1825}","[0.8260604211168752, 0.775099176075679, 0.7158119658119658, 0.6557827281049741, 0.702471772963076]",0.21123990416526794,-0.001926499418914318
1,0,1,0.9345703125,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [47, 713], [52, 708], [46, 707]]","{""0"": 1939, ""1"": 1909, ""2"": 1937, ""3"": 1907, ""4"": 1902, ""5"": 1895, ""6"": 1916, ""7"": 1907}","[0.9404943545926152, 0.9298138541348795, 0.9136141636141636, 0.9465974977113213, 0.942325297528227]",0.022226931527256966,-0.03850554674863815
2,0,2,0.99969482421875,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 2047, ""1"": 2047, ""2"": 2047, ""3"": 2047, ""4"": 2048, ""5"": 2047, ""6"": 2048, ""7"": 2048}","[0.9987793713762587, 1.0, 1.0, 1.0, 0.9996948428440647]",0.07471958547830582,0.0
3,0,3,0.9237060546875,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1321], [58, 998], [53, 905], [39, 838], [47, 713], [46, 709], [52, 708]]","{""0"": 1894, ""1"": 1872, ""2"": 1904, ""3"": 1889, ""4"": 1880, ""5"": 1883, ""6"": 1915, ""7"": 1897}","[0.9298138541348795, 0.9517851693622216, 0.9068986568986569, 0.9121147390906317, 0.9179127250534025]",0.23314712941646576,-0.013629396446049213
4,1,0,1.0,3.0587158203125,"{""1"": 0.17535400390625, ""2"": 0.167724609375, ""3"": 0.2593994140625, ""4"": 0.2178955078125, ""5"": 0.17962646484375}","[0.422607421875, 0.6312255859375, 0.6468505859375, 0.6175537109375, 0.740478515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 2048, ""1"": 2048, ""2"": 2048, ""3"": 2048, ""4"": 2048, ""5"": 2048, ""6"": 2048, ""7"": 2048}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.0075873322784900665,0.0
5,1,1,0.818603515625,3.3225469728601253,"{""1"": 0.019087384431852074, ""2"": 0.19124664479570533, ""3"": 0.3253802564867283, ""4"": 0.3766030420518938, ""5"": 0.08768267223382047}","[0.34976140769460184, 0.7198031613480466, 0.8651207873546078, 0.6059498956158664, 0.7819117208470027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 1315], [58, 998], [53, 905], [39, 838], [57, 749], [46, 709], [52, 708], [47, 687]]","{""0"": 1712, ""1"": 1662, ""2"": 1684, ""3"": 1669, ""4"": 1680, ""5"": 1653, ""6"": 1687, ""7"": 1665}","[0.9606347268843455, 0.9917607567897467, 0.8327228327228328, 0.6017699115044248, 0.7061336588342997]",0.009603478945791721,-0.015767060220241547
6,1,2,0.86090087890625,2.8481389578163774,"{""1"": 0.2247429989365473, ""2"": 0.18326834455866714, ""3"": 0.25054945054945055, ""4"": 0.20198511166253103, ""5"": 0.13945409429280398}","[0.4465083303792981, 0.5576036866359447, 0.5848989719957461, 0.5609358383551932, 0.698192130450195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2428], [43, 1334], [58, 998], [53, 902], [39, 838], [47, 713], [46, 709], [52, 708]]","{""0"": 1836, ""1"": 1821, ""2"": 1808, ""3"": 1754, ""4"": 1744, ""5"": 1741, ""6"": 1752, ""7"": 1649}","[0.8822093378089716, 0.8553555080866646, 0.8458485958485958, 0.8715288373512359, 0.8495575221238938]",0.162385031580925,-0.10162858664989471
7,1,3,0.94793701171875,2.923894147189492,"{""1"": 0.19882815015131028, ""2"": 0.12143455025433005, ""3"": 0.3280535702787972, ""4"": 0.26038246088468225, ""5"": 0.09130126843088017}","[0.3738973665572082, 0.6165089176485739, 0.6569441761638014, 0.5056982808576396, 0.770845405962269, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [47, 713], [46, 709], [52, 708]]","{""0"": 1932, ""1"": 1930, ""2"": 1949, ""3"": 1938, ""4"": 1930, ""5"": 1936, ""6"": 1955, ""7"": 1961}","[0.9539212694537686, 0.9401891974366798, 0.9374236874236874, 0.9545315837656393, 0.9536161122978334]",0.014301919378340244,-0.047083593904972076
8,2,0,0.7762451171875,3.4537663154584055,"{""1"": 0.0886145620380563, ""2"": 0.1578078314200346, ""3"": 0.27488598836295014, ""4"": 0.27834565183204907, ""5"": 0.1274571473502123, ""6"": 0.05236672432772448, ""7"": 0.009749960685642397, ""8"": 0.005189495203648372, ""9"": 0.00558263877968234}","[0.3554804214499135, 0.4922157571945274, 0.6258845730460765, 0.4789275043245793, 0.558263877968234, 0.14286837553074383, 0.4253027205535462, 0.1773863815065262, 0.19743670388425852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 1197], [58, 998], [53, 807], [57, 749], [46, 709], [52, 708], [56, 671], [39, 669]]","{""0"": 1667, ""1"": 1628, ""2"": 1626, ""3"": 1613, ""4"": 1576, ""5"": 1537, ""6"": 1539, ""7"": 1532}","[0.9478181263350626, 0.9444613976197742, 0.7927350427350427, 0.5422642660970399, 0.6539517851693623]",0.019358059391379356,-0.028142666444182396
9,2,1,0.7640380859375,3.1447515577568304,"{""1"": 0.14802684134845823, ""2"": 0.2502795973797731, ""3"": 0.25251637641795815, ""4"": 0.15114235500878734, ""5"": 0.10241252596261384, ""6"": 0.06750279597379773, ""7"": 0.015258028439047772, ""8"": 0.005591947595462534, ""9"": 0.007269531874101294}","[0.27400543217766415, 0.3738616392394951, 0.46668796932417317, 0.40557597060233264, 0.5620706183096341, 0.25275603131490654, 0.3242530755711775, 0.20442562709698034, 0.28111519412046654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 991], [53, 898], [39, 838], [47, 713], [52, 701], [0, 647]]","{""0"": 1444, ""1"": 1523, ""2"": 1598, ""3"": 1564, ""4"": 1586, ""5"": 1575, ""6"": 1607, ""7"": 1621}","[0.7708269758925846, 0.6966737870003051, 0.7264957264957265, 0.8211779066219103, 0.805004577357339]",0.010689489543437958,-0.04995042830705643
