rank,source,target
1,current,C0
1,current,C1
1,current,C2
1,current,C3
1,C3,C4
1,C3,C6
1,C3,C7
1,C3,C9
1,C4,C9
1,C3,C10
1,C4,C10
1,C3,C12
1,C4,C12
1,C3,C13
1,C4,C13
1,C3,C14
1,C4,C14
1,C3,C15
1,C4,C15
1,C4,C16
1,C15,C16
1,C4,C18
1,C15,C18
1,C4,C19
1,C15,C19
1,C15,C20
1,C16,C20
1,C15,C22
1,C16,C22
1,C15,C23
1,C16,C23
1,C14,C24
1,C15,C24
1,C16,C24
1,C15,C25
1,C16,C25
1,C16,C30
1,C23,C30
1,C16,C31
2,current,C1
2,current,C2
2,current,C3
2,C3,C4
2,C3,C6
2,C3,C7
2,C3,C9
2,C4,C9
2,C3,C10
2,C4,C10
2,C3,C12
2,C4,C12
2,C3,C13
2,C4,C13
2,C3,C14
2,C4,C14
2,C3,C15
2,C4,C15
2,C4,C16
2,C15,C16
2,C4,C18
2,C15,C18
2,C4,C19
2,C15,C19
2,C15,C20
2,C16,C20
2,C15,C22
2,C16,C22
2,C15,C23
2,C16,C23
2,C14,C24
2,C15,C24
2,C16,C24
2,C15,C25
2,C16,C25
2,C16,C30
2,C23,C30
2,C16,C31
3,current,C1
3,current,C2
3,current,C3
3,C3,C4
3,C3,C6
3,C3,C7
3,C3,C9
3,C4,C9
3,C3,C10
3,C4,C10
3,C3,C11
3,C4,C11
3,C3,C12
3,C4,C12
3,C3,C13
3,C4,C13
3,C3,C14
3,C4,C14
3,C3,C15
3,C4,C15
3,C4,C16
3,C15,C16
3,C4,C17
3,C4,C18
3,C15,C18
3,C4,C19
3,C15,C19
3,C15,C20
3,C16,C20
3,C15,C22
3,C16,C22
3,C15,C23
3,C16,C23
3,C14,C24
3,C15,C24
3,C16,C24
3,C15,C25
3,C16,C25
3,C16,C30
3,C23,C30
3,C16,C31
4,current,C1
4,current,C2
4,current,C3
4,C3,C4
4,C3,C6
4,C3,C7
4,C3,C9
4,C4,C9
4,C3,C10
4,C4,C10
4,C3,C11
4,C4,C11
4,C3,C12
4,C4,C12
4,C3,C13
4,C4,C13
4,C3,C14
4,C4,C14
4,C3,C15
4,C4,C15
4,C4,C16
4,C15,C16
4,C4,C18
4,C15,C18
4,C4,C19
4,C15,C19
4,C15,C20
4,C16,C20
4,C15,C22
4,C16,C22
4,C15,C23
4,C16,C23
4,C14,C24
4,C15,C24
4,C16,C24
4,C15,C25
4,C16,C25
4,C16,C30
4,C23,C30
4,C16,C31
5,current,C1
5,current,C2
5,current,C3
5,C3,C4
5,C3,C6
5,C3,C7
5,C3,C9
5,C4,C9
5,C3,C10
5,C4,C10
5,C3,C12
5,C4,C12
5,C3,C13
5,C4,C13
5,C3,C14
5,C4,C14
5,C3,C15
5,C4,C15
5,C4,C16
5,C15,C16
5,C4,C18
5,C15,C18
5,C4,C19
5,C15,C19
5,C15,C20
5,C16,C20
5,C15,C22
5,C16,C22
5,C15,C23
5,C16,C23
5,C14,C24
5,C15,C24
5,C16,C24
5,C15,C25
5,C16,C25
5,C16,C30
5,C23,C30
6,current,C0
6,current,C1
6,current,C2
6,current,C3
6,C3,C4
6,C3,C6
6,C3,C7
6,C3,C9
6,C4,C9
6,C3,C10
6,C4,C10
6,C3,C11
6,C4,C11
6,C3,C12
6,C4,C12
6,C3,C13
6,C4,C13
6,C3,C14
6,C4,C14
6,C3,C15
6,C4,C15
6,C4,C16
6,C15,C16
6,C4,C18
6,C15,C18
6,C4,C19
6,C15,C19
6,C15,C20
6,C16,C20
6,C15,C22
6,C16,C22
6,C15,C23
6,C16,C23
6,C14,C24
6,C15,C24
6,C16,C24
6,C15,C25
6,C16,C25
6,C16,C30
6,C23,C30
6,C16,C31
7,current,C0
7,current,C1
7,current,C2
7,C0,C4
7,C0,C7
7,C0,C9
7,C0,C10
7,C0,C11
7,C0,C12
7,C9,C12
7,C0,C14
7,C9,C14
7,C0,C15
7,C9,C15
7,C9,C16
7,C9,C17
7,C4,C19
7,C9,C19
7,C14,C19
7,C9,C20
7,C9,C22
7,C14,C22
7,C14,C24
7,C22,C24
7,C22,C25
7,C22,C26
7,C16,C29
7,C22,C29
7,C22,C30
8,current,C0
8,current,C1
8,current,C2
8,current,C3
8,C3,C4
8,C3,C6
8,C3,C7
8,C3,C9
8,C4,C9
8,C3,C10
8,C4,C10
8,C3,C12
8,C4,C12
8,C3,C13
8,C4,C13
8,C3,C14
8,C4,C14
8,C3,C15
8,C4,C15
8,C4,C16
8,C15,C16
8,C4,C18
8,C15,C18
8,C4,C19
8,C15,C19
8,C15,C20
8,C16,C20
8,C15,C22
8,C16,C22
8,C15,C23
8,C16,C23
8,C14,C24
8,C16,C24
8,C15,C25
8,C16,C25
8,C16,C30
8,C23,C30
8,C16,C31
