difficulty_quintile,tokens,avg_active_cells,avg_active_edges,avg_fanin,avg_depth,graph_entropy
1,3277,23.530057979859627,71.32651815685078,3.031293769777455,5.381446444919133,7.92681989327661
2,3277,22.690265486725664,63.231309124198965,2.786715261713917,5.377784559047909,7.97595400456582
3,3276,22.50854700854701,57.004273504273506,2.5325612303018796,5.37026862026862,7.623724030565652
4,3277,22.48825144949649,49.090631675312785,2.1829456943577497,5.331705828501678,6.685021531107947
5,3277,22.433323161428135,51.278608483368934,2.2858231085235468,5.22947818126335,7.1280661085662205
