seed,batch,round,sequence,position,target_token,active_cells,nll_full,nll_keep80,nll_keep60,nll_keep40,nll_remove4,kept80,kept60,kept40,kept_remove4,marginal_last20,marginal_last4,utility_full_to40
1337,0,0,0,72,39,19,1.8120900392532349,1.728083610534668,1.673844337463379,1.5703119039535522,1.728083610534668,15,11,8,15,-0.0840064287185669,-0.0840064287185669,-0.24177813529968262
1337,0,0,1,124,43,24,3.7822327613830566,3.812516450881958,3.8155429363250732,3.9069814682006836,3.820072889328003,19,14,10,20,0.030283689498901367,0.03784012794494629,0.12474870681762695
1337,0,0,2,34,1,27,0.16203653812408447,0.19050413370132446,0.21659357845783234,0.5035508871078491,0.16488006711006165,22,16,11,23,0.02846759557723999,0.002843528985977173,0.34151434898376465
1337,0,0,3,47,42,23,2.61812686920166,2.566470146179199,2.8218748569488525,3.3093032836914062,2.5786263942718506,18,14,9,19,-0.05165672302246094,-0.03950047492980957,0.6911764144897461
1337,0,0,4,42,46,14,2.0980865955352783,2.031583786010742,2.1105542182922363,2.181985378265381,2.03019642829895,11,8,6,10,-0.06650280952453613,-0.06789016723632812,0.08389878273010254
1337,0,0,5,60,43,25,0.32286012172698975,0.2542252540588379,0.28697606921195984,0.5007835030555725,0.27596163749694824,20,15,10,21,-0.06863486766815186,-0.046898484230041504,0.17792338132858276
1337,0,0,6,39,1,27,0.4645942449569702,0.34113025665283203,6.58677339553833,6.809258460998535,0.522417426109314,22,16,11,23,-0.12346398830413818,0.05782318115234375,6.344664216041565
1337,0,0,7,76,58,22,2.00913143157959,2.014392375946045,2.044104814529419,2.066438674926758,2.014392375946045,18,13,9,18,0.005260944366455078,0.005260944366455078,0.05730724334716797
1337,0,1,0,32,51,26,3.520806312561035,3.504509925842285,3.3105664253234863,5.150490760803223,3.505253553390503,21,16,10,22,-0.01629638671875,-0.015552759170532227,1.6296844482421875
1337,0,1,1,25,47,19,2.4028828144073486,2.378622531890869,2.4573724269866943,2.619330406188965,2.378622531890869,15,11,8,15,-0.024260282516479492,-0.024260282516479492,0.2164475917816162
1337,0,1,2,44,52,24,2.855947256088257,3.2514045238494873,8.24910831451416,8.615890502929688,3.2567954063415527,19,14,10,20,0.39545726776123047,0.4008481502532959,5.759943246841431
1337,0,1,3,42,42,26,2.6455206871032715,2.7210001945495605,2.836643934249878,7.53028678894043,2.6772966384887695,21,16,10,22,0.07547950744628906,0.03177595138549805,4.884766101837158
1337,0,1,4,54,5,26,4.533413887023926,4.812498092651367,9.48354721069336,9.514335632324219,4.767943382263184,21,16,10,22,0.2790842056274414,0.2345294952392578,4.980921745300293
1337,0,1,5,68,1,19,2.281156539916992,2.6945228576660156,3.1715216636657715,3.7631723880767822,2.6945228576660156,15,11,8,15,0.41336631774902344,0.41336631774902344,1.48201584815979
1337,0,1,6,25,52,26,0.7803559303283691,0.6872372031211853,0.8266891241073608,6.844305515289307,0.6720542907714844,21,16,10,22,-0.09311872720718384,-0.10830163955688477,6.0639495849609375
1337,0,1,7,24,51,24,1.89775812625885,2.2241454124450684,2.968315362930298,5.7509660720825195,2.3968210220336914,19,14,10,20,0.32638728618621826,0.4990628957748413,3.8532079458236694
1337,0,2,0,41,1,25,0.14261513948440552,0.1399707794189453,5.424719333648682,5.318127632141113,0.13717246055603027,20,15,10,21,-0.002644360065460205,-0.005442678928375244,5.175512492656708
1337,0,2,1,116,8,18,4.169948577880859,4.216548919677734,4.28594970703125,4.48674201965332,4.216548919677734,14,11,7,14,0.046600341796875,0.046600341796875,0.31679344177246094
1337,0,2,2,32,1,27,0.04211190342903137,0.04297364503145218,0.062054336071014404,0.33783605694770813,0.04270365461707115,22,16,11,23,0.0008617416024208069,0.0005917511880397797,0.29572415351867676
1337,0,2,3,72,41,24,3.5948073863983154,3.602870225906372,3.5922679901123047,8.325605392456055,3.6069037914276123,19,14,10,20,0.00806283950805664,0.012096405029296875,4.730798006057739
1337,0,2,4,62,61,23,2.7676074504852295,2.7609715461730957,2.791921615600586,4.935736179351807,2.7695772647857666,18,14,9,19,-0.006635904312133789,0.0019698143005371094,2.168128728866577
1337,0,2,5,92,0,24,0.10456813871860504,0.045268841087818146,0.0421903058886528,0.03417297080159187,0.1046203225851059,19,14,10,20,-0.059299297630786896,5.218386650085449e-05,-0.07039516791701317
1337,0,2,6,98,61,23,2.4719133377075195,2.460721969604492,2.4599385261535645,3.2152366638183594,2.4532387256622314,18,14,9,19,-0.011191368103027344,-0.018674612045288086,0.7433233261108398
1337,0,2,7,118,41,23,3.341630458831787,3.3414173126220703,3.3355119228363037,3.2486491203308105,3.3455705642700195,18,14,9,19,-0.00021314620971679688,0.003940105438232422,-0.09298133850097656
1337,0,3,0,7,57,17,2.1389942169189453,2.0603291988372803,1.76408052444458,1.7183130979537964,2.0039186477661133,14,10,7,13,-0.07866501808166504,-0.13507556915283203,-0.4206811189651489
1337,0,3,1,75,58,28,0.8563862442970276,0.8574619293212891,1.0155307054519653,5.816638946533203,0.8636276125907898,22,17,11,24,0.0010756850242614746,0.007241368293762207,4.9602527022361755
1337,0,3,2,67,39,21,2.4334583282470703,2.4371397495269775,2.426410436630249,4.798128128051758,2.4371397495269775,17,13,8,17,0.0036814212799072266,0.0036814212799072266,2.3646697998046875
1337,0,3,3,122,44,29,3.158499240875244,3.355745315551758,5.237696170806885,4.921161651611328,3.0469956398010254,23,17,12,25,0.19724607467651367,-0.11150360107421875,1.762662410736084
1337,0,3,4,32,43,17,0.5730376243591309,0.47968512773513794,0.6562258005142212,1.3232414722442627,0.4731011986732483,14,10,7,13,-0.09335249662399292,-0.09993642568588257,0.7502038478851318
1337,0,3,5,59,60,25,3.292407512664795,4.943481922149658,9.66844654083252,10.04079818725586,3.278038263320923,20,15,10,21,1.6510744094848633,-0.01436924934387207,6.7483906745910645
1337,0,3,6,34,40,29,3.6979146003723145,3.5578413009643555,3.4875328540802,3.2172515392303467,3.664822578430176,23,17,12,25,-0.14007329940795898,-0.03309202194213867,-0.4806630611419678
1337,0,3,7,100,53,21,3.921020984649658,3.80723237991333,3.6672134399414062,3.4034364223480225,3.80723237991333,17,13,8,17,-0.11378860473632812,-0.11378860473632812,-0.5175845623016357
1337,0,4,0,25,43,21,0.7436735033988953,0.7172719240188599,1.3604748249053955,1.753424048423767,0.7172719240188599,17,13,8,17,-0.0264015793800354,-0.0264015793800354,1.0097505450248718
1337,0,4,1,47,50,16,4.868160247802734,4.832655906677246,4.927621364593506,4.701765060424805,4.833881855010986,13,10,6,12,-0.03550434112548828,-0.03427839279174805,-0.1663951873779297
1337,0,4,2,47,43,25,1.0281753540039062,1.0693848133087158,1.1711515188217163,1.2990223169326782,1.070389747619629,20,15,10,21,0.04120945930480957,0.042214393615722656,0.270846962928772
1337,0,4,3,58,0,22,0.2789335548877716,0.10024809837341309,0.09363477677106857,0.07370445877313614,0.10024809837341309,18,13,9,18,-0.17868545651435852,-0.17868545651435852,-0.20522909611463547
1337,0,4,4,124,0,23,2.9619300365448,2.792057514190674,2.61720609664917,3.2978124618530273,2.779099464416504,18,14,9,19,-0.16987252235412598,-0.1828305721282959,0.33588242530822754
1337,0,4,5,95,13,20,2.517610549926758,2.3586695194244385,2.390247106552124,2.3433942794799805,2.3586695194244385,16,12,8,16,-0.15894103050231934,-0.15894103050231934,-0.17421627044677734
1337,0,4,6,118,51,24,2.6776468753814697,2.665891647338867,2.6819374561309814,5.245273590087891,2.693711519241333,19,14,10,20,-0.011755228042602539,0.01606464385986328,2.567626714706421
1337,0,4,7,42,41,22,3.331160068511963,3.4193201065063477,3.371880054473877,3.996657133102417,3.4193201065063477,18,13,9,18,0.08816003799438477,0.08816003799438477,0.6654970645904541
1337,0,5,0,80,56,23,0.6155779957771301,0.6442286968231201,0.9512662887573242,2.998377561569214,0.6450698375701904,18,14,9,19,0.02865070104598999,0.029491841793060303,2.3827995657920837
1337,0,5,1,19,58,13,1.3058868646621704,1.1567342281341553,1.2067530155181885,1.9786711931228638,1.1884723901748657,10,8,5,9,-0.14915263652801514,-0.11741447448730469,0.6727843284606934
1337,0,5,2,60,43,22,4.213683128356934,4.171733379364014,4.137277126312256,3.7724413871765137,4.171733379364014,18,13,9,18,-0.04194974899291992,-0.04194974899291992,-0.4412417411804199
1337,0,5,3,112,0,22,0.12010412663221359,1.7051382064819336,1.7848644256591797,2.478079319000244,1.7051382064819336,18,13,9,18,1.58503407984972,1.58503407984972,2.3579751923680305
1337,0,5,4,106,43,23,0.2133805900812149,0.22828255593776703,0.3116322159767151,1.5350888967514038,0.21645601093769073,18,14,9,19,0.014901965856552124,0.00307542085647583,1.321708306670189
1337,0,5,5,89,50,22,5.422825813293457,5.404953479766846,5.494064807891846,5.455685138702393,5.404953479766846,18,13,9,18,-0.017872333526611328,-0.017872333526611328,0.03285932540893555
1337,0,5,6,61,1,19,0.25735849142074585,0.282124787569046,0.3920852839946747,0.4780595898628235,0.282124787569046,15,11,8,15,0.02476629614830017,0.02476629614830017,0.22070109844207764
1337,0,5,7,35,21,18,2.7650442123413086,2.295827865600586,2.2913894653320312,2.016179084777832,2.295827865600586,14,11,7,14,-0.46921634674072266,-0.46921634674072266,-0.7488651275634766
1337,0,6,0,91,56,19,4.832452774047852,4.8043365478515625,4.554193496704102,2.927227258682251,4.8043365478515625,15,11,8,15,-0.028116226196289062,-0.028116226196289062,-1.9052255153656006
1337,0,6,1,64,53,19,1.0475282669067383,1.0512902736663818,1.0497729778289795,1.1280791759490967,1.0512902736663818,15,11,8,15,0.0037620067596435547,0.0037620067596435547,0.0805509090423584
