node,step,cell,remove_delta_nll,add_gain_nll
0,0,0,0.21123990416526794,-0.001926499418914318
1,0,1,0.022226931527256966,-0.03850554674863815
2,0,2,0.07471958547830582,0.0
3,0,3,0.23314712941646576,-0.013629396446049213
4,1,0,0.0075873322784900665,0.0
5,1,1,0.009603478945791721,-0.015767060220241547
6,1,2,0.162385031580925,-0.10162858664989471
7,1,3,0.014301919378340244,-0.047083593904972076
8,2,0,0.019358059391379356,-0.028142666444182396
9,2,1,0.010689489543437958,-0.04995042830705643
10,2,2,0.000660982565023005,0.004286879673600197
11,2,3,0.003902546362951398,-0.13703177869319916
12,3,0,0.0030178711749613285,-0.024280373007059097
13,3,1,0.01380121149122715,-0.036130111664533615
14,3,2,0.023740975186228752,-0.04221917688846588
15,3,3,0.009031619876623154,-0.0249644722789526
16,4,0,0.009753366932272911,-0.045797884464263916
17,4,1,0.003743498818948865,-0.017668405547738075
18,4,2,0.007771715987473726,-0.0181875042617321
19,4,3,0.02107660472393036,-0.03923118859529495
20,5,0,0.00955074094235897,-0.012334940955042839
21,5,1,0.011752428486943245,-0.0468875989317894
22,5,2,0.030918851494789124,-0.04673741012811661
23,5,3,8.114091906463727e-05,-0.01918654702603817
24,6,0,0.00648926105350256,-0.026320507749915123
25,6,1,0.014889899641275406,-0.06475621461868286
26,6,2,0.014980528503656387,-0.0059089139103889465
27,6,3,0.014378461986780167,-0.07215198874473572
28,7,0,0.01669938862323761,-0.14493043720722198
29,7,1,0.043224211782217026,-0.04592062905430794
30,7,2,0.012310604564845562,-0.022621430456638336
31,7,3,0.0248241126537323,-0.09568215906620026
