node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
0,0,0,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.032841719686985016
1,0,1,0.1260986328125,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 177], [32, 147], [8, 144], [27, 123], [26, 109], [5, 95]]","{""1"": 277, ""3"": 228, ""6"": 232, ""7"": 328, ""0"": 255, ""2"": 249, ""5"": 253, ""4"": 244}","[0.21330485199877938, 0.12206286237412267, 0.10653235653235653, 0.08574916081782118, 0.10283796155019835]",0.02822449430823326,-0.052665743976831436
2,0,2,0.1456298828125,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [45, 202], [13, 183], [10, 177], [32, 147], [8, 144], [27, 123], [49, 113]]","{""1"": 306, ""2"": 293, ""3"": 268, ""5"": 299, ""6"": 276, ""7"": 363, ""0"": 294, ""4"": 287}","[0.2331400671345743, 0.1547146780592005, 0.12179487179487179, 0.09978638999084528, 0.1187061336588343]",0.07621380686759949,-0.07477676123380661
3,0,3,0.40283203125,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[57, 749], [46, 709], [52, 708], [56, 671], [42, 418], [50, 405], [58, 374], [51, 334]]","{""0"": 895, ""1"": 868, ""2"": 865, ""3"": 870, ""4"": 803, ""5"": 782, ""6"": 773, ""7"": 744}","[0.4943545926151968, 0.5602685382972231, 0.4368131868131868, 0.2364967958498627, 0.2862374122673177]",0.8021627068519592,-0.028519127517938614
4,1,0,0.9288330078125,1.2070574319884348,"{""1"": 0.8093047706663162, ""2"": 0.1783414377710606, ""3"": 0.008345380470495467, ""4"": 0.004008411092127744}","[0.6472598238927586, 0.0, 0.05914049152319621, 0.08016822184255487, 0.42048889472992507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1870, ""1"": 1881, ""2"": 1911, ""3"": 1935, ""4"": 1925, ""5"": 1913, ""6"": 1929, ""7"": 1854}","[0.9499542264266096, 0.9215746109246262, 0.9166666666666666, 0.9346963686298444, 0.9212694537686908]",0.5701000690460205,-0.05617821589112282
5,1,1,0.123779296875,2.084319526627219,"{""1"": 0.11932938856015779, ""2"": 0.6829388560157791, ""3"": 0.19181459566074952, ""4"": 0.005917159763313609}","[0.1957593688362919, 0.0, 0.8091715976331361, 1.0, 0.07938856015779093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 177], [32, 147], [27, 123], [49, 113], [26, 109], [5, 95]]","{""1"": 272, ""2"": 245, ""3"": 211, ""6"": 209, ""7"": 331, ""0"": 288, ""5"": 237, ""4"": 235}","[0.17363442172718951, 0.13487946292340555, 0.11019536019536019, 0.091547146780592, 0.10863594751296918]",0.00992640946060419,-0.0700388252735138
6,1,2,0.1021728515625,2.740740740740741,"{""1"": 0.0005973715651135006, ""2"": 0.25806451612903225, ""3"": 0.7413381123058542}","[0.9414575866188769, 0.0, 0.8022700119474313, 0.9970131421744325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 163], [32, 147], [27, 123], [26, 109], [30, 86], [20, 71]]","{""1"": 223, ""3"": 177, ""6"": 185, ""7"": 276, ""0"": 207, ""2"": 198, ""5"": 207, ""4"": 201}","[0.13793103448275862, 0.09673481843149222, 0.09798534798534798, 0.08086664632285627, 0.09734513274336283]",0.014654731377959251,-0.028662094846367836
7,1,3,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.0626140832901001
8,2,0,0.10894775390625,2.13781512605042,"{""1"": 0.1938375350140056, ""2"": 0.5563025210084034, ""3"": 0.17198879551820728, ""4"": 0.07394957983193277, ""5"": 0.00392156862745098}","[0.0, 0.0, 0.7910364145658263, 0.9988795518207283, 0.0, 0.17198879551820728, 0.13669467787114845, 0.0392156862745098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[21, 228], [13, 183], [10, 173], [32, 147], [27, 123], [26, 109], [5, 95], [30, 86]]","{""1"": 236, ""3"": 193, ""6"": 198, ""7"": 287, ""0"": 220, ""2"": 221, ""5"": 217, ""4"": 213}","[0.14342386328959414, 0.11107720476045163, 0.10378510378510379, 0.08361306072627403, 0.10283796155019835]",0.023614199832081795,-0.04983155429363251
9,2,1,0.891357421875,1.1414680909339907,"{""1"": 0.8984524787729389, ""2"": 0.06594083812654067, ""3"": 0.03142974527526705, ""4"": 0.004039989044097508, ""5"": 0.0001369487811558477}","[0.03944124897288414, 0.0, 0.0195152013147083, 0.033141605039715145, 0.3760613530539578, 0.6588605861407834, 0.014448096411941934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2483], [43, 1336], [58, 998], [53, 905], [39, 838], [57, 749], [47, 713], [46, 709]]","{""0"": 1832, ""1"": 1812, ""2"": 1827, ""3"": 1855, ""4"": 1837, ""5"": 1830, ""6"": 1850, ""7"": 1761}","[0.8556606652426, 0.8904485810192249, 0.8962148962148963, 0.9166920964296613, 0.8977723527616722]",0.2588972747325897,-0.06611648947000504
10,2,2,0.0,0.0,{},[],[],{},"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,-0.08254756778478622
