node,step,cell,remove_delta_nll,add_gain_nll
0,0,0,0.0,-0.032841719686985016
1,0,1,0.02822449430823326,-0.052665743976831436
2,0,2,0.07621380686759949,-0.07477676123380661
3,0,3,0.8021627068519592,-0.028519127517938614
4,1,0,0.5701000690460205,-0.05617821589112282
5,1,1,0.00992640946060419,-0.0700388252735138
6,1,2,0.014654731377959251,-0.028662094846367836
7,1,3,0.0,-0.0626140832901001
8,2,0,0.023614199832081795,-0.04983155429363251
9,2,1,0.2588972747325897,-0.06611648947000504
10,2,2,0.0,-0.08254756778478622
11,2,3,-0.028553389012813568,-0.0609237402677536
12,3,0,0.036452896893024445,-0.08387710899114609
13,3,1,-0.09072691202163696,-0.03759191185235977
14,3,2,-0.0006257541826926172,-0.0320248007774353
15,3,3,0.16099195182323456,-0.037533875554800034
16,4,0,0.0,-0.04165266826748848
17,4,1,0.08744638413190842,-0.03864763304591179
18,4,2,0.08511564880609512,-0.024180157110095024
19,4,3,0.0,-0.038362711668014526
20,5,0,0.05739856883883476,-0.0897858738899231
21,5,1,0.0,-0.015840720385313034
22,5,2,0.0,-0.030477752909064293
23,5,3,-0.02301759459078312,-0.0478416346013546
24,6,0,0.02793392539024353,-0.06499703973531723
25,6,1,0.0,-0.023429961875081062
26,6,2,0.037724416702985764,-0.018817128613591194
27,6,3,-0.06699176877737045,-0.061073288321495056
28,7,0,0.06542778015136719,-0.053921110928058624
29,7,1,0.2561311721801758,-0.10499084740877151
30,7,2,0.02706429921090603,0.05719681456685066
31,7,3,-0.01276322826743126,-0.060704804956912994
