step,ppl,full_ppl,average_compute,expected_compute,average_active_layers,average_width,unique_paths,top1_coverage,top4_coverage,top8_coverage,top16_coverage,router_entropy,router_confidence,collapse_warning
0,68.71962551207001,68.61265556627039,1.59765625,1.4805628061294556,3.71875,204.5,12,0.28125,0.59375,0.875,1.0,1.6052615642547607,0.2230115830898285,
100,12.749537969533153,12.761267587856127,3.484375,3.197144031524658,4.0,446.0,2,0.96875,1.0,1.0,1.0,0.705394446849823,0.6737183332443237,single_path
200,11.458227912816728,11.461490211311949,3.0625,3.1493868827819824,4.0,392.0,2,0.875,1.0,1.0,1.0,0.5177872180938721,0.7930165529251099,
300,10.856005380113018,10.870084355703742,2.5,2.3862600326538086,4.0,320.0,1,1.0,1.0,1.0,1.0,0.2755289673805237,0.885254979133606,single_path
400,10.539696970435454,10.582747012198533,2.078125,2.2136621475219727,4.0,266.0,3,0.90625,1.0,1.0,1.0,0.21803979575634003,0.9070804715156555,
500,9.942974073806834,9.945477731743374,2.0,2.067599058151245,4.0,256.0,1,1.0,1.0,1.0,1.0,0.10863238573074341,0.9659051895141602,single_path
