checkpoint,iter,layer,mean_active_channels,median_active_channels,std_active_channels,min_active_channels,max_active_channels,gate_entropy,fraction_gate_gt_0_5,fraction_gate_gt_0_9,fraction_gate_lt_0_1,p10_width,p25_width,p50_width,p75_width,p90_width,mean_channel_usage_rate,std_channel_usage_rate,min_channel_usage_rate,max_channel_usage_rate,hist_0-64,hist_65-128,hist_129-192,hist_193-256,hist_257-320,hist_321-384,hist_385-448,hist_449-512
ckpt.pt,1000,1,239.7294921875,239.5,43.60424447059631,90.0,372.0,260.3428201675415,0.46822166442871094,0.08315181732177734,0.10448741912841797,189.45000457763672,218.0,239.5,261.625,294.199951171875,0.46822166442871094,0.19827728904783726,0.132049560546875,0.888885498046875,0.0,0.018829345703125,0.108001708984375,0.626190185546875,0.212158203125,0.034820556640625,0.0,0.0
ckpt.pt,1000,2,160.79931640625,159.5,39.83358705043793,74.5,314.5,238.97744417190552,0.31406116485595703,0.03407096862792969,0.22770118713378906,112.0,128.375,159.5,181.75,215.3499755859375,0.31406116485595703,0.17192196659743786,0.094696044921875,0.702880859375,0.000396728515625,0.287322998046875,0.54547119140625,0.15203857421875,0.01458740234375,0.00018310546875,0.0,0.0
ckpt.pt,1000,3,182.837890625,177.0,33.42622447013855,97.0,303.5,204.61507272720337,0.3571052551269531,0.10157108306884766,0.29140281677246094,144.0,160.0,177.0,208.0,224.3499755859375,0.3571052551269531,0.17604708718135953,0.078094482421875,0.8243408203125,0.0,0.073516845703125,0.6312255859375,0.28106689453125,0.014190673828125,0.0,0.0,0.0
ckpt.pt,1000,4,230.7265625,225.0,39.86301648616791,128.5,359.0,169.77173614501953,0.4506378173828125,0.23675251007080078,0.28643226623535156,177.6500015258789,205.375,225.25,256.0,281.0499267578125,0.4506378173828125,0.24554363824427128,0.077239990234375,0.899505615234375,0.0,0.001922607421875,0.233489990234375,0.5628662109375,0.186767578125,0.01495361328125,0.0,0.0
