node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
0,0,0,0.7952880859375,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2435], [43, 1372], [53, 974], [46, 722], [56, 705], [57, 686], [47, 655], [0, 633]]","{""0"": 1579, ""1"": 1584, ""2"": 1610, ""3"": 1603, ""4"": 1620, ""5"": 1675, ""6"": 1667, ""7"": 1692}","[0.7723527616722612, 0.755263960939884, 0.8058608058608059, 0.8275862068965517, 0.8153799206591394]",0.012484480626881123,-0.018856149166822433
1,0,1,0.812744140625,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 1372], [58, 1013], [53, 974], [39, 904], [46, 722], [56, 705], [57, 686], [47, 655]]","{""0"": 1659, ""1"": 1663, ""2"": 1673, ""3"": 1656, ""4"": 1675, ""5"": 1653, ""6"": 1670, ""7"": 1667}","[0.9624656698199573, 0.996032956972841, 0.8208180708180708, 0.6176380836130607, 0.666768385718645]",0.03193792700767517,-0.0021278325002640486
2,0,2,0.73553466796875,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 1372], [58, 1013], [53, 974], [39, 904], [56, 705], [57, 686], [47, 655], [52, 646]]","{""0"": 1513, ""1"": 1496, ""2"": 1522, ""3"": 1498, ""4"": 1495, ""5"": 1489, ""6"": 1517, ""7"": 1521}","[0.8968568812938663, 0.8367409215746109, 0.7213064713064713, 0.5874275251754654, 0.6353371986573085]",0.03857078775763512,0.0013568191789090633
3,0,3,0.741455078125,1.0,"{""1"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2435], [43, 1372], [58, 1013], [53, 974], [39, 904], [56, 705], [57, 686], [47, 655]]","{""0"": 1525, ""1"": 1475, ""2"": 1502, ""3"": 1551, ""4"": 1509, ""5"": 1521, ""6"": 1502, ""7"": 1563}","[0.68660360085444, 0.6444919133353677, 0.7106227106227107, 0.8342996643271284, 0.8312480927677754]",0.03006838820874691,-0.005052630323916674
4,1,0,0.79443359375,2.9427627535341117,"{""1"": 0.19222495390288874, ""2"": 0.1314535955746773, ""3"": 0.27881069452980944, ""4"": 0.33635525507068226, ""5"": 0.061155500921942225}","[0.26490473263675474, 0.6530424093423479, 0.6867701290719115, 0.6117086662569146, 0.7263368162261832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2423], [43, 1345], [53, 945], [39, 779], [46, 706], [0, 633], [47, 628], [56, 475]]","{""0"": 1420, ""1"": 1571, ""2"": 1612, ""3"": 1615, ""4"": 1648, ""5"": 1673, ""6"": 1735, ""7"": 1742}","[0.714372902044553, 0.7842538907537382, 0.8199023199023199, 0.8629844369850473, 0.7906621910283796]",0.008037365041673183,-0.03969266265630722
5,1,1,0.8153076171875,3.305360083844887,"{""1"": 0.03570893846384189, ""2"": 0.19538853121724808, ""3"": 0.27870938763287917, ""4"": 0.40821979338224285, ""5"": 0.081973349303788}","[0.6647701751759245, 0.6764485701452313, 0.49648150920796524, 0.7601437340919299, 0.7075160952238359, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 1372], [58, 1013], [53, 974], [39, 904], [46, 722], [56, 705], [57, 686], [47, 655]]","{""0"": 1647, ""1"": 1601, ""2"": 1600, ""3"": 1632, ""4"": 1651, ""5"": 1640, ""6"": 1681, ""7"": 1906}","[0.954226426609704, 0.9334757400061031, 0.8272283272283272, 0.6573085138846506, 0.7043027158986879]",0.016207361593842506,-0.005075695458799601
6,1,2,0.681396484375,2.8579362235757793,"{""1"": 0.057327122895019705, ""2"": 0.3832855607309208, ""3"": 0.28609817269795773, ""4"": 0.190702257255464, ""5"": 0.08258688642063776}","[0.45978144034396273, 0.7666606950913651, 0.5094948047294876, 0.5314403439627373, 0.5905589394482265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2435], [46, 722], [56, 705], [57, 686], [52, 646], [50, 471], [42, 431], [58, 412]]","{""0"": 1554, ""1"": 1535, ""2"": 1473, ""3"": 1372, ""4"": 1328, ""5"": 1317, ""6"": 1309, ""7"": 1276}","[0.7088800732377174, 0.6634116570033567, 0.6681929181929182, 0.6905706438815991, 0.6759231003967043]",0.01526376511901617,-0.13833540678024292
7,1,3,0.956298828125,3.13001021189686,"{""1"": 0.03861373500127649, ""2"": 0.29774061781976, ""3"": 0.2878478427367884, ""4"": 0.24661730916517743, ""5"": 0.1291804952769977}","[0.3441409241766658, 0.7685090630584631, 0.6717513403114629, 0.7250446770487619, 0.6205642073015063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2435], [43, 1372], [58, 1013], [53, 974], [39, 904], [46, 722], [56, 705], [57, 686]]","{""0"": 1953, ""1"": 1934, ""2"": 1944, ""3"": 1954, ""4"": 1957, ""5"": 1968, ""6"": 1969, ""7"": 1989}","[0.9221849252364968, 0.958193469636863, 0.956959706959707, 0.9694842844064693, 0.9746719560573696]",0.017573989927768707,-0.0155789814889431
8,2,0,0.97076416015625,3.286828041496385,"{""1"": 0.14347689405847217, ""2"": 0.09927695693178246, ""3"": 0.29556743162527505, ""4"": 0.32474064759509585, ""5"": 0.08154668343288274, ""6"": 0.039924552027664255, ""7"": 0.012700408676516818, ""8"": 0.0019490726186733732, ""9"": 0.000817353033637221}","[0.24948129519019177, 0.5834014460861364, 0.4871424080477837, 0.5683118516189878, 0.5662370323797548, 0.17453630933668657, 0.1676202452059101, 0.10713612071675574, 0.38296133291417794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2435], [43, 1372], [58, 1013], [53, 974], [39, 904], [46, 722], [56, 700], [57, 686]]","{""0"": 2005, ""1"": 1984, ""2"": 1993, ""3"": 1983, ""4"": 1976, ""5"": 1975, ""6"": 1993, ""7"": 1996}","[0.9774183704607873, 0.9533109551418981, 0.9685592185592186, 0.9768080561489166, 0.9777235276167227]",0.0067857131361961365,0.02617667429149151
9,2,1,0.83868408203125,3.064842442325886,"{""1"": 0.0586565752128666, ""2"": 0.35572374645222327, ""3"": 0.25907866967469617, ""4"": 0.21883414598646386, ""5"": 0.053198457171967105, ""6"": 0.02445236882322975, ""7"": 0.013099483298158795, ""8"": 0.014846081071246634, ""9"": 0.002110472309147806}","[0.3010697911360163, 0.7026417291317953, 0.5725929699439634, 0.47558401863037625, 0.35273997525653156, 0.09366130558183539, 0.1369623753729714, 0.10137544574630668, 0.3282148315260898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2435], [43, 1372], [58, 1013], [53, 974], [39, 904], [56, 705], [57, 686], [47, 655]]","{""0"": 1699, ""1"": 1665, ""2"": 1716, ""3"": 1715, ""4"": 1729, ""5"": 1703, ""6"": 1716, ""7"": 1798}","[0.7177296307598413, 0.7894415624046384, 0.8397435897435898, 0.9276777540433323, 0.9188281965212084]",0.021268045529723167,-0.03327952325344086
