difficulty_quintile,tokens,avg_active_cells,avg_active_edges,avg_fanin,avg_depth,graph_entropy
1,3277,23.407384803173635,72.31614281354898,3.0894584517508408,5.7180347879157765,7.96842053826786
2,3277,23.04943545926152,72.9636862984437,3.165530298015437,5.812633506255722,8.043644689705857
3,3276,22.292124542124544,64.81654456654456,2.9075983513398787,5.725579975579976,7.61825490965615
4,3277,21.60726274031126,55.64418675617943,2.5752538590817293,5.6292340555386025,6.750440259046854
5,3277,21.571254195910893,57.18309429356118,2.6508933497432414,5.544705523344523,7.110550980755071
