rank,source,target
1,current,C0
1,current,C3
1,C3,C4
1,C0,C6
1,C3,C6
1,C0,C7
1,C3,C7
1,C7,C8
1,C0,C9
1,C7,C9
1,C7,C12
1,C9,C12
1,C7,C13
1,C9,C13
1,C7,C14
1,C9,C14
1,C7,C16
1,C9,C16
1,C14,C16
1,C7,C17
1,C9,C17
1,C7,C19
1,C9,C19
1,C16,C22
1,C16,C25
1,C16,C27
1,C16,C28
1,C16,C29
1,C16,C31
2,current,C0
2,current,C3
2,C3,C4
2,C0,C6
2,C3,C6
2,C0,C7
2,C3,C7
2,C7,C8
2,C0,C9
2,C7,C9
2,C7,C12
2,C9,C12
2,C7,C13
2,C9,C13
2,C7,C14
2,C9,C14
2,C7,C16
2,C9,C16
2,C14,C16
2,C7,C17
2,C9,C17
2,C7,C19
2,C9,C19
2,C16,C20
2,C16,C22
2,C16,C25
2,C16,C27
2,C16,C28
2,C16,C29
2,C16,C31
3,current,C0
3,current,C3
3,C3,C4
3,C0,C6
3,C3,C6
3,C0,C7
3,C3,C7
3,C7,C8
3,C0,C9
3,C7,C9
3,C7,C12
3,C9,C12
3,C7,C13
3,C9,C13
3,C7,C14
3,C9,C14
3,C7,C16
3,C9,C16
3,C14,C16
3,C7,C19
3,C9,C19
3,C16,C20
3,C16,C22
3,C16,C25
3,C16,C27
3,C16,C28
3,C16,C29
3,C16,C31
4,current,C0
4,current,C3
4,C3,C4
4,C0,C6
4,C3,C6
4,C0,C7
4,C3,C7
4,C7,C8
4,C0,C9
4,C7,C9
4,C7,C12
4,C9,C12
4,C7,C13
4,C9,C13
4,C7,C14
4,C9,C14
4,C7,C16
4,C9,C16
4,C14,C16
4,C7,C17
4,C9,C17
4,C7,C19
4,C9,C19
4,C9,C20
4,C16,C20
4,C9,C22
4,C16,C22
4,C16,C25
4,C16,C27
4,C16,C28
4,C16,C29
4,C16,C31
5,current,C0
5,current,C3
5,C3,C4
5,C0,C6
5,C3,C6
5,C0,C7
5,C3,C7
5,C7,C8
5,C0,C9
5,C7,C9
5,C7,C12
5,C9,C12
5,C7,C13
5,C9,C13
5,C7,C14
5,C9,C14
5,C7,C16
5,C9,C16
5,C14,C16
5,C7,C17
5,C9,C17
5,C7,C19
5,C9,C19
5,C9,C20
5,C16,C20
5,C16,C22
5,C16,C25
5,C16,C27
5,C16,C28
5,C16,C29
5,C16,C31
6,current,C0
6,current,C3
6,C3,C4
6,C0,C6
6,C3,C6
6,C0,C7
6,C3,C7
6,C7,C8
6,C0,C9
6,C7,C9
6,C7,C12
6,C9,C12
6,C7,C13
6,C9,C13
6,C7,C14
6,C9,C14
6,C7,C16
6,C9,C16
6,C14,C16
6,C7,C19
6,C9,C19
6,C9,C20
6,C16,C20
6,C16,C22
6,C16,C25
6,C16,C27
6,C16,C28
6,C16,C29
6,C16,C31
7,current,C0
7,current,C3
7,C3,C4
7,C0,C6
7,C3,C6
7,C0,C7
7,C3,C7
7,C7,C8
7,C0,C9
7,C7,C9
7,C7,C12
7,C9,C12
7,C7,C13
7,C9,C13
7,C7,C14
7,C9,C14
7,C7,C16
7,C9,C16
7,C14,C16
7,C7,C19
7,C9,C19
7,C16,C20
7,C16,C22
7,C16,C27
7,C16,C28
7,C16,C29
7,C16,C31
8,current,C0
8,current,C3
8,C3,C4
8,C0,C6
8,C3,C6
8,C0,C7
8,C3,C7
8,C7,C8
8,C0,C9
8,C7,C9
8,C7,C12
8,C9,C12
8,C7,C13
8,C9,C13
8,C7,C14
8,C9,C14
8,C7,C16
8,C9,C16
8,C14,C16
8,C7,C17
8,C9,C17
8,C7,C19
8,C9,C19
8,C16,C20
8,C16,C22
8,C16,C27
8,C16,C28
8,C16,C29
8,C16,C31
