node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
10,2,2,1.0,9.0,"{""9"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0025349706411361694,0.0
11,2,3,1.0,9.0,"{""9"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.003654986619949341,0.0
12,3,0,1.0,13.0,"{""13"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.007335074245929718,0.0
13,3,1,1.0,13.0,"{""13"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.009913094341754913,0.0
14,3,2,1.0,13.0,"{""13"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.0003723353147506714,0.0
15,3,3,1.0,13.0,"{""13"": 1.0}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.004524827003479004,0.0
16,4,0,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",0.005862466990947723,0.0
17,4,1,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.0036406442523002625,0.0
18,4,2,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.00860583782196045,0.0
19,4,3,1.0,13.0,"{""13"": 1.0}","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 9], [1, 8], [57, 6], [0, 4], [56, 4], [58, 4], [46, 3], [20, 2]]","{""0"": 64}","[1.0, 1.0, 1.0, 1.0, 1.0]",-0.00907057523727417,0.0
