node,step,cell,remove_delta_nll,add_gain_nll
0,0,0,0.0008189678192138672,0.0
1,0,1,0.013318561017513275,0.0
2,0,2,-0.0033486634492874146,0.0
3,0,3,-0.0023083165287971497,0.0
4,1,0,0.0034666061401367188,0.0
5,1,1,0.00479300320148468,0.0
6,1,2,-0.0004953518509864807,0.0
7,1,3,-0.012075662612915039,0.0
8,2,0,-0.001506604254245758,0.0
9,2,1,-0.008302219212055206,0.0
10,2,2,-0.0025349706411361694,0.0
11,2,3,0.003654986619949341,0.0
12,3,0,0.007335074245929718,0.0
13,3,1,0.009913094341754913,0.0
14,3,2,0.0003723353147506714,0.0
15,3,3,0.004524827003479004,0.0
16,4,0,0.005862466990947723,0.0
17,4,1,-0.0036406442523002625,0.0
18,4,2,-0.00860583782196045,0.0
19,4,3,-0.00907057523727417,0.0
20,5,0,-0.006211318075656891,0.0
21,5,1,-0.003965370357036591,0.0
22,5,2,0.0009842440485954285,0.0
23,5,3,0.002297833561897278,0.0
24,6,0,0.0034087002277374268,0.0
25,6,1,0.005096837878227234,0.0
26,6,2,0.0026143118739128113,0.0
27,6,3,-0.005278535187244415,0.0
28,7,0,-0.0026399344205856323,0.0
29,7,1,-0.0043542832136154175,0.0
30,7,2,0.005116574466228485,0.0
31,7,3,-0.0032806172966957092,0.0
