step,graph_entropy,unique_graphs,top1_graph_coverage,top4_graph_coverage,top8_graph_coverage
0,-0.0,1,1.0,1.0,1.0
1,1.7807533782102065,31,0.37982177734375,0.882476806640625,0.9482421875
2,3.2623353237534785,108,0.127655029296875,0.390777587890625,0.606597900390625
3,3.804115352846918,181,0.100677490234375,0.2679443359375,0.4302978515625
