seed,dynamic_ppl,matched_static_ppl,dynamic_minus_static,dynamic_wins,avg_active_cells,avg_active_edges,avg_depth,graph_entropy,same_token_shuffle_ppl,same_token_position_shuffle_ppl
1337,7.755356087841134,7.808115346809389,-0.05275925896825484,1,22.7301025390625,58.3863525390625,5.338134765625,8.816019287617875,9.92927913447836,9.816583156301398
2027,7.864607923545384,8.230232890010056,-0.36562496646467224,1,22.385498046875,64.584716796875,5.68603515625,8.919841150452026,10.214752396196122,10.109273768642764
3407,7.59882537211545,7.723072995989858,-0.12424762387440769,1,24.46368408203125,69.19451904296875,5.41192626953125,9.394658723827773,9.435356100345766,9.396072979775528
mean,7.739596461167323,7.920473744269768,-0.1808772831024449,3,23.193094889322918,64.05519612630208,5.47869873046875,9.043506387299225,9.85979587700675,9.773976634906564
sample_std,0.1335902898261125,0.2716083515570589,0.1639403137120982,,1.1137709533289877,5.423505314781507,0.18331009684137525,0.3085056197019469,0.3943166098428565,0.3585042929439451
