seed,learned_ppl,fixed_common_ppl,shuffle_ppl,fixed_trained_ppl,budget_trained_ppl,learned_minus_fixed_common,learned_minus_shuffle,graph_entropy,top1_graph_coverage,top4_graph_coverage,top8_graph_coverage,mask_token_mutual_information
1337,7.539961275577511,8.776047430931989,9.463611795927775,7.547979591077466,7.49730477730456,-1.236086155354478,-1.9236505203502645,4.676170718083927,0.05108642578125,0.188720703125,0.31109619140625,3.259633007976664
2027,7.836727608367412,9.641242267238688,9.774029770807655,7.729780282950764,7.805441558476588,-1.804514658871276,-1.9373021624402424,4.521081502136159,0.070526123046875,0.197479248046875,0.330963134765625,3.321223842342414
3407,7.566222390486824,9.345882850787113,9.511750153490102,7.40359224991567,7.55808429025712,-1.7796604603002892,-1.9455277630032777,4.460363546599665,0.139190673828125,0.3145751953125,0.42254638671875,3.2903660369207284
mean,7.647637091477249,9.254390849652596,9.58313057340851,7.5604507079813,7.620276875346089,-1.6067537581753477,-1.9354934819312615,4.5525385889399175,0.08693440755208333,0.23359171549479166,0.3548685709635417,3.2904076290799353
sample_std,0.16428277214124384,0.4397938333999725,0.16706646295090952,0.1634512306207809,0.16321154128247503,0.32124801420768195,0.011050200469329963,0.11128946512875251,0.04628729287049756,0.07027034246270616,0.05944652150175061,0.030795438248189977
standard_error,0.09484870271896509,0.25391508810141156,0.09645586735726626,0.09436861199828346,0.09423022729429069,0.1854726274794379,0.006379836215566983,0.06425300265005474,0.02672398099884081,0.040570601136890594,0.03432146519142259,0.017779754562404982
