step,train_loss,val_loss,avg_active_cells,avg_active_edges,avg_fanin,avg_soft_fanin,avg_effective_depth,step_widths,graph_entropy,top1_coverage,top4_coverage,top8_coverage,top16_coverage,unique_graphs,node_usage_entropy,edge_usage_entropy,dead_cell_ratio,node_usage_gini,active_cell_macs,skipped_cell_macs,router_parameters,router_macs_per_token,temperature,exploration,dual_value,router_gradient_norm,node_score_std,edge_score_std,std_active_cells,min_active_cells,max_active_cells,std_depth,min_depth,max_depth,empty_step_fraction
0,4.497150421142578,4.476767063140869,32.0,320.0,10.0,1.0,8.0,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",-0.0,1.0,1.0,1.0,1.0,1,3.465735912322998,5.7683210372924805,0.0,0.0,524288.0,0.0,28072,212224,1.5,0.05,0.0,0.0,0.0022512541618198156,0.0013269518967717886,0.0,32.0,32.0,0.0,8.0,8.0,0.0
100,2.7501537799835205,2.769829511642456,9.1484375,15.7109375,1.71733558177948,1.0,5.03515625,"[1.96484375, 1.37109375, 1.0, 1.0, 1.0, 0.7421875, 1.0, 1.0703125]",4.078703880310059,0.12109375,0.31640625,0.41015625,0.5234375,109,2.4196321964263916,3.5252716541290283,0.53125,0.6999359726905823,149888.0,374400.0,28072,212224,1.375,0.03571428571428572,2.176513671874999,0.6116629616345671,1.3960773944854736,inf,1.9708415269851685,7.0,15.0,1.1603535413742065,4.0,7.0,0.0322265625
200,2.5146260261535645,2.5718064308166504,5.16796875,5.43359375,1.0513983964920044,1.0,3.45703125,"[1.16015625, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0078125]",1.5783514976501465,0.45703125,0.8828125,0.96875,1.0,14,1.740549921989441,2.1128273010253906,0.71875,0.8355300426483154,84672.0,439616.0,28072,212224,1.25,0.021428571428571432,1.1640808105468707,0.11877276503403121,2.6213977336883545,inf,0.6666653752326965,5.0,8.0,0.5135939121246338,3.0,5.0,0.3740234375
300,2.733567476272583,2.71020770072937,5.43359375,5.7890625,1.0654205083847046,1.0,3.265625,"[1.25, 0.09765625, 1.01953125, 1.0, 1.01171875, 0.0234375, 1.0, 0.03125]",1.6510610580444336,0.4921875,0.8828125,0.93359375,0.96484375,25,1.9184942245483398,2.3864986896514893,0.5625,0.8163416385650635,89024.0,435264.0,28072,212224,1.125,0.007142857142857145,0.0,0.06820416070841712,1.866134762763977,inf,1.5115067958831787,5.0,14.0,0.4504229724407196,3.0,5.0,0.35888671875
400,2.700638771057129,2.6285033226013184,5.3125,5.46484375,1.0286765098571777,1.0,3.1875,"[1.25390625, 0.05859375, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",1.4820959568023682,0.5546875,0.90234375,0.9453125,0.984375,20,1.8235632181167603,2.2056753635406494,0.6875,0.8277573585510254,87040.0,437248.0,28072,212224,1.0,0.0,0.0,0.06581640132742109,1.8991057872772217,inf,1.0288798809051514,5.0,10.0,0.3903123736381531,3.0,4.0,0.36865234375
500,2.6725170612335205,2.639547824859619,5.59765625,6.609375,1.1807397603988647,1.0,3.3203125,"[1.26171875, 0.2109375, 1.0546875, 1.0, 1.0234375, 0.03125, 1.0, 0.015625]",1.7850309610366821,0.43359375,0.86328125,0.89453125,0.92578125,35,2.0334959030151367,2.879512071609497,0.40625,0.7988703846931458,91712.0,432576.0,28072,212224,0.875,0.0,0.0,0.11445280355682003,1.5172854661941528,inf,2.1042726039886475,5.0,19.0,0.4665966033935547,3.0,4.0,0.35986328125
600,2.6520135402679443,2.5971527099609375,7.63671875,14.9921875,1.963171362876892,1.0,3.6171875,"[1.4609375, 0.37109375, 1.22265625, 1.17578125, 1.3203125, 0.4609375, 1.26171875, 0.36328125]",2.3288254737854004,0.390625,0.76171875,0.7890625,0.8203125,62,2.8353271484375,4.828856945037842,0.0,0.5571771264076233,125120.0,399168.0,28072,212224,0.75,0.0,0.0,0.06476474513930047,1.4654018878936768,inf,5.813916206359863,5.0,29.0,0.9488570094108582,3.0,7.0,0.31640625
700,2.540570020675659,2.5424082279205322,6.34375,8.15625,1.2857142686843872,1.0,3.38671875,"[1.33203125, 0.3046875, 1.1328125, 1.0546875, 1.11328125, 0.14453125, 1.07421875, 0.1875]",1.9681798219680786,0.4609375,0.82421875,0.8515625,0.8828125,46,2.4419541358947754,3.6127941608428955,0.0,0.704741358757019,103936.0,420352.0,28072,212224,0.625,0.0,0.0,0.05875141258506652,1.364899754524231,inf,3.5398125648498535,5.0,27.0,0.5886784791946411,3.0,6.0,0.3349609375
800,2.6135201454162598,2.54028058052063,6.625,10.4296875,1.5742924213409424,1.0,3.5625,"[1.3359375, 0.3046875, 1.16015625, 1.1171875, 1.171875, 0.22265625, 1.1171875, 0.1953125]",2.154620885848999,0.40234375,0.78515625,0.84375,0.87890625,47,2.5850534439086914,4.459270000457764,0.0,0.6455630660057068,108544.0,415744.0,28072,212224,0.5,0.0,0.0,0.14706155801967072,1.301372766494751,inf,4.597893714904785,5.0,30.0,0.8592329621315002,3.0,8.0,0.34033203125
900,2.5159831047058105,2.6062636375427246,6.21484375,8.4140625,1.3538655042648315,1.0,3.4453125,"[1.24609375, 0.26953125, 1.08984375, 1.05078125, 1.1015625, 0.1796875, 1.10546875, 0.171875]",1.852138876914978,0.4453125,0.84765625,0.88671875,0.91796875,37,2.4661922454833984,3.932650089263916,0.0,0.679073691368103,101824.0,422464.0,28072,212224,0.375,0.0,0.0,0.10258517986560917,1.1632492542266846,inf,4.000577926635742,5.0,29.0,0.7583760619163513,3.0,7.0,0.34765625
1000,2.4759521484375,2.5572052001953125,5.86328125,6.78515625,1.1572284698486328,1.0,3.48828125,"[1.19140625, 0.18359375, 1.078125, 1.03125, 1.0546875, 0.13671875, 1.078125, 0.109375]",1.663511872291565,0.42578125,0.88671875,0.90625,0.9375,32,2.3120920658111572,3.333193063735962,0.0,0.7238299250602722,96064.0,428224.0,28072,212224,0.25,0.0,0.0,0.1670372318179648,1.1850546598434448,inf,3.0734591484069824,5.0,26.0,0.6672145128250122,3.0,7.0,0.35546875
