checkpoint,iter,final_ce,perplexity,mean_effective_width,effective_width_ratio,width64,stable_width64,width128,stable_width128,width256,stable_width256,width512,stable_width512,run
ckpt_iter_100.pt,100,2.576173573732376,13.146736773636613,310.7705078125,0.6069736480712891,0.1212615966796875,0.351806640625,0.2112579345703125,0.0958251953125,0.2569580078125,0.2623291015625,0.4105224609375,0.2900390625,B_dynamic_cost0
ckpt_iter_300.pt,300,2.401028096675873,11.034515099286837,258.634765625,0.5051460266113281,0.3306884765625,0.1260986328125,0.1425323486328125,0.1448974609375,0.19720458984375,0.23681640625,0.3295745849609375,0.4921875,B_dynamic_cost0
ckpt_iter_500.pt,500,2.353990823030472,10.527499389157896,204.9150390625,0.4002246856689453,0.4267120361328125,0.0517578125,0.17523193359375,0.0843505859375,0.1899566650390625,0.304443359375,0.208099365234375,0.5594482421875,B_dynamic_cost0
ckpt_iter_1000.pt,1000,2.6825622618198395,14.622512041411383,197.1533203125,0.38506507873535156,0.4213409423828125,0.097412109375,0.181488037109375,0.0535888671875,0.2202911376953125,0.1502685546875,0.1768798828125,0.69873046875,B_dynamic_cost0
ckpt_iter_2000.pt,2000,2.6016895174980164,13.486504482740935,212.8291015625,0.4156818389892578,0.4192962646484375,0.019287109375,0.1590118408203125,0.0401611328125,0.19635009765625,0.1702880859375,0.225341796875,0.770263671875,B_dynamic_cost0
ckpt_iter_3000.pt,3000,2.726089596748352,15.2730463255236,212.3056640625,0.4146595001220703,0.4244842529296875,0.0211181640625,0.1592254638671875,0.032958984375,0.188995361328125,0.1463623046875,0.227294921875,0.799560546875,B_dynamic_cost0
ckpt_iter_100.pt,100,2.5826984643936157,13.232798259195386,241.1630859375,0.4710216522216797,0.2824249267578125,0.3812255859375,0.2725982666015625,0.1014404296875,0.154815673828125,0.2569580078125,0.2901611328125,0.2603759765625,C_dynamic_cost001
ckpt_iter_300.pt,300,2.4441030025482178,11.520211362610002,183.9365234375,0.3592510223388672,0.5350494384765625,0.042724609375,0.1483612060546875,0.2178955078125,0.12261962890625,0.34130859375,0.1939697265625,0.3980712890625,C_dynamic_cost001
ckpt_iter_500.pt,500,2.4435937702655792,11.514346392524136,158.056640625,0.3087043762207031,0.532470703125,0.0611572265625,0.1965179443359375,0.16796875,0.1559906005859375,0.198486328125,0.115020751953125,0.5723876953125,C_dynamic_cost001
ckpt_iter_1000.pt,1000,2.7066453397274017,14.978941874714716,152.8671875,0.2985687255859375,0.522003173828125,0.0523681640625,0.2062835693359375,0.041748046875,0.179931640625,0.170654296875,0.0917816162109375,0.7352294921875,C_dynamic_cost001
ckpt_iter_2000.pt,2000,2.619600683450699,13.730239778294045,163.75390625,0.31983184814453125,0.53472900390625,0.0093994140625,0.168060302734375,0.0064697265625,0.1724700927734375,0.130615234375,0.1247406005859375,0.853515625,C_dynamic_cost001
ckpt_iter_3000.pt,3000,2.6216715574264526,13.758702836062547,166.9638671875,0.32610130310058594,0.5210418701171875,0.0074462890625,0.172271728515625,0.00537109375,0.1775665283203125,0.127685546875,0.129119873046875,0.8594970703125,C_dynamic_cost001
