checkpoint,iter,kind,bucket,count,mean_width,run
ckpt_iter_1000.pt,1000,stable_bigram,medium,1358,406.52724594992634,B_dynamic_cost0
ckpt_iter_1000.pt,1000,stable_bigram,rare,35,433.37142857142857,B_dynamic_cost0
ckpt_iter_1000.pt,1000,stable_bigram,very_high,1547,394.2598577892696,B_dynamic_cost0
ckpt_iter_2000.pt,2000,unigram,high,1136,199.3661971830986,B_dynamic_cost0
ckpt_iter_2000.pt,2000,unigram,medium,17,239.52941176470588,B_dynamic_cost0
ckpt_iter_2000.pt,2000,unigram,very_high,7039,214.93734905526352,B_dynamic_cost0
ckpt_iter_2000.pt,2000,bigram,high,5004,217.0503597122302,B_dynamic_cost0
ckpt_iter_2000.pt,2000,bigram,low,248,181.48387096774192,B_dynamic_cost0
ckpt_iter_2000.pt,2000,bigram,medium,1358,193.34904270986746,B_dynamic_cost0
ckpt_iter_2000.pt,2000,bigram,rare,35,182.62857142857143,B_dynamic_cost0
ckpt_iter_2000.pt,2000,bigram,very_high,1547,221.98319327731093,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_unigram,high,1136,473.23943661971833,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_unigram,medium,17,496.94117647058823,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_unigram,very_high,7039,439.5533456456883,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_bigram,high,5004,445.31414868105514,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_bigram,low,248,481.03225806451616,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_bigram,medium,1358,443.3814432989691,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_bigram,rare,35,490.0571428571429,B_dynamic_cost0
ckpt_iter_2000.pt,2000,stable_bigram,very_high,1547,435.1338073691015,B_dynamic_cost0
ckpt_iter_3000.pt,3000,unigram,high,1136,198.0211267605634,B_dynamic_cost0
ckpt_iter_3000.pt,3000,unigram,medium,17,243.2941176470588,B_dynamic_cost0
ckpt_iter_3000.pt,3000,unigram,very_high,7039,214.5361557039352,B_dynamic_cost0
ckpt_iter_3000.pt,3000,bigram,high,5004,216.3021582733813,B_dynamic_cost0
ckpt_iter_3000.pt,3000,bigram,low,248,183.51612903225808,B_dynamic_cost0
ckpt_iter_3000.pt,3000,bigram,medium,1358,194.36229749631812,B_dynamic_cost0
ckpt_iter_3000.pt,3000,bigram,rare,35,181.71428571428572,B_dynamic_cost0
ckpt_iter_3000.pt,3000,bigram,very_high,1547,220.43697478991598,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_unigram,high,1136,476.3943661971831,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_unigram,medium,17,512.0,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_unigram,very_high,7039,448.4000568262537,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_bigram,high,5004,456.03197442046365,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_bigram,low,248,459.0967741935484,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_bigram,medium,1358,455.82326951399114,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_bigram,rare,35,512.0,B_dynamic_cost0
ckpt_iter_3000.pt,3000,stable_bigram,very_high,1547,435.29928894634776,B_dynamic_cost0
ckpt_iter_100.pt,100,unigram,high,1136,251.90140845070422,C_dynamic_cost001
ckpt_iter_100.pt,100,unigram,medium,17,296.94117647058823,C_dynamic_cost001
ckpt_iter_100.pt,100,unigram,very_high,7039,239.29535445375762,C_dynamic_cost001
ckpt_iter_100.pt,100,bigram,high,5004,249.06634692246203,C_dynamic_cost001
ckpt_iter_100.pt,100,bigram,low,248,175.25806451612902,C_dynamic_cost001
ckpt_iter_100.pt,100,bigram,medium,1358,209.9617083946981,C_dynamic_cost001
ckpt_iter_100.pt,100,bigram,rare,35,165.94285714285715,C_dynamic_cost001
ckpt_iter_100.pt,100,bigram,very_high,1547,255.25533290239173,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_unigram,high,1136,292.5633802816901,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_unigram,medium,17,278.5882352941176,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_unigram,very_high,7039,227.32319931808496,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_bigram,high,5004,242.22541966426857,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_bigram,low,248,328.7741935483871,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_bigram,medium,1358,250.1561119293078,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_bigram,rare,35,393.14285714285717,C_dynamic_cost001
ckpt_iter_100.pt,100,stable_bigram,very_high,1547,187.53199741435034,C_dynamic_cost001
ckpt_iter_300.pt,300,unigram,high,1136,189.92253521126761,C_dynamic_cost001
ckpt_iter_300.pt,300,unigram,medium,17,231.05882352941177,C_dynamic_cost001
ckpt_iter_300.pt,300,unigram,very_high,7039,182.85665577496803,C_dynamic_cost001
ckpt_iter_300.pt,300,bigram,high,5004,188.28617106314948,C_dynamic_cost001
ckpt_iter_300.pt,300,bigram,low,248,171.3548387096774,C_dynamic_cost001
ckpt_iter_300.pt,300,bigram,medium,1358,169.01325478645066,C_dynamic_cost001
ckpt_iter_300.pt,300,bigram,rare,35,171.42857142857142,C_dynamic_cost001
ckpt_iter_300.pt,300,bigram,very_high,1547,185.26696832579185,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_unigram,high,1136,407.77464788732397,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_unigram,medium,17,331.29411764705884,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_unigram,very_high,7039,307.91646540701805,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_bigram,high,5004,328.42845723421266,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_bigram,low,248,382.7096774193548,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_bigram,medium,1358,358.6921944035346,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_bigram,rare,35,431.54285714285714,C_dynamic_cost001
ckpt_iter_300.pt,300,stable_bigram,very_high,1547,255.79314802844215,C_dynamic_cost001
ckpt_iter_500.pt,500,unigram,high,1136,167.14788732394365,C_dynamic_cost001
ckpt_iter_500.pt,500,unigram,medium,17,173.64705882352942,C_dynamic_cost001
ckpt_iter_500.pt,500,unigram,very_high,7039,156.55178292371076,C_dynamic_cost001
ckpt_iter_500.pt,500,bigram,high,5004,158.82334132693845,C_dynamic_cost001
ckpt_iter_500.pt,500,bigram,low,248,165.70967741935485,C_dynamic_cost001
ckpt_iter_500.pt,500,bigram,medium,1358,154.70986745213548,C_dynamic_cost001
ckpt_iter_500.pt,500,bigram,rare,35,163.42857142857142,C_dynamic_cost001
ckpt_iter_500.pt,500,bigram,very_high,1547,157.1661279896574,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_unigram,high,1136,422.3098591549296,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_unigram,medium,17,353.88235294117646,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_unigram,very_high,7039,360.76942747549367,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_bigram,high,5004,368.0255795363709,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_bigram,low,248,416.0,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_bigram,medium,1358,388.5243004418262,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_bigram,rare,35,418.74285714285713,C_dynamic_cost001
ckpt_iter_500.pt,500,stable_bigram,very_high,1547,347.8836457659987,C_dynamic_cost001
ckpt_iter_1000.pt,1000,unigram,high,1136,167.7394366197183,C_dynamic_cost001
ckpt_iter_1000.pt,1000,unigram,medium,17,177.41176470588235,C_dynamic_cost001
ckpt_iter_1000.pt,1000,unigram,very_high,7039,150.4077283705072,C_dynamic_cost001
ckpt_iter_1000.pt,1000,bigram,high,5004,152.8361310951239,C_dynamic_cost001
ckpt_iter_1000.pt,1000,bigram,low,248,165.03225806451613,C_dynamic_cost001
ckpt_iter_1000.pt,1000,bigram,medium,1358,155.62886597938143,C_dynamic_cost001
ckpt_iter_1000.pt,1000,bigram,rare,35,172.34285714285716,C_dynamic_cost001
ckpt_iter_1000.pt,1000,bigram,very_high,1547,148.15255332902393,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_unigram,high,1136,473.2957746478873,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_unigram,medium,17,451.7647058823529,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_unigram,very_high,7039,421.5871572666572,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_bigram,high,5004,431.16866506794565,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_bigram,low,248,449.2903225806452,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_bigram,medium,1358,443.00441826215024,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_bigram,rare,35,451.65714285714284,C_dynamic_cost001
ckpt_iter_1000.pt,1000,stable_bigram,very_high,1547,404.97478991596637,C_dynamic_cost001
ckpt_iter_2000.pt,2000,unigram,high,1136,174.14788732394365,C_dynamic_cost001
ckpt_iter_2000.pt,2000,unigram,medium,17,178.8235294117647,C_dynamic_cost001
ckpt_iter_2000.pt,2000,unigram,very_high,7039,162.0400625088791,C_dynamic_cost001
ckpt_iter_2000.pt,2000,bigram,high,5004,164.74180655475618,C_dynamic_cost001
ckpt_iter_2000.pt,2000,bigram,low,248,168.80645161290323,C_dynamic_cost001
ckpt_iter_2000.pt,2000,bigram,medium,1358,165.32547864506628,C_dynamic_cost001
ckpt_iter_2000.pt,2000,bigram,rare,35,181.94285714285715,C_dynamic_cost001
ckpt_iter_2000.pt,2000,bigram,very_high,1547,157.9573367808662,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_unigram,high,1136,486.92957746478874,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_unigram,medium,17,466.8235294117647,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_unigram,very_high,7039,469.4485012075579,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_bigram,high,5004,472.65867306155076,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_bigram,low,248,465.5483870967742,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_bigram,medium,1358,483.81737849779086,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_bigram,rare,35,497.37142857142857,C_dynamic_cost001
ckpt_iter_2000.pt,2000,stable_bigram,very_high,1547,459.25274725274727,C_dynamic_cost001
ckpt_iter_3000.pt,3000,unigram,high,1136,176.07042253521126,C_dynamic_cost001
ckpt_iter_3000.pt,3000,unigram,medium,17,185.88235294117646,C_dynamic_cost001
ckpt_iter_3000.pt,3000,unigram,very_high,7039,165.44850120755788,C_dynamic_cost001
ckpt_iter_3000.pt,3000,bigram,high,5004,168.15987210231813,C_dynamic_cost001
ckpt_iter_3000.pt,3000,bigram,low,248,173.5483870967742,C_dynamic_cost001
ckpt_iter_3000.pt,3000,bigram,medium,1358,166.77466863033874,C_dynamic_cost001
ckpt_iter_3000.pt,3000,bigram,rare,35,178.05714285714285,C_dynamic_cost001
ckpt_iter_3000.pt,3000,bigram,very_high,1547,161.9547511312217,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_unigram,high,1136,489.23943661971833,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_unigram,medium,17,444.2352941176471,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_unigram,very_high,7039,471.5124307430033,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_bigram,high,5004,475.8689048760991,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_bigram,low,248,480.0,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_bigram,medium,1358,485.8438880706922,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_bigram,rare,35,497.37142857142857,C_dynamic_cost001
ckpt_iter_3000.pt,3000,stable_bigram,very_high,1547,455.612152553329,C_dynamic_cost001
