checkpoint,iter,layer,mean_width,width_ratio,router_entropy,width64_fraction,width64_prob,width128_fraction,width128_prob,width256_fraction,width256_prob,width512_fraction,width512_prob,run
ckpt_iter_100.pt,100,1,420.8671875,0.8220062255859375,1.1122361421585083,0.0728759765625,0.16237805411219597,0.1153564453125,0.15937845967710018,0.055419921875,0.206396222114563,0.75634765625,0.4718472696840763,B_dynamic_cost0
ckpt_iter_100.pt,100,2,365.5859375,0.7140350341796875,1.1873160749673843,0.0364990234375,0.18221055530011654,0.1474609375,0.19566411152482033,0.286865234375,0.26094379276037216,0.5291748046875,0.3611815311014652,B_dynamic_cost0
ckpt_iter_100.pt,100,3,277.84375,0.54266357421875,1.1257403939962387,0.29736328125,0.2362639382481575,0.1220703125,0.22847803495824337,0.211181640625,0.23738070763647556,0.369384765625,0.29787730798125267,B_dynamic_cost0
ckpt_iter_100.pt,100,4,313.609375,0.612518310546875,1.3080922216176987,0.0634765625,0.21171689592301846,0.2562255859375,0.2490015309303999,0.279541015625,0.2562863267958164,0.4007568359375,0.28299524635076523,B_dynamic_cost0
ckpt_iter_100.pt,100,5,399.859375,0.780975341796875,1.2758842706680298,0.018310546875,0.21136097237467766,0.07763671875,0.19536199606955051,0.28955078125,0.2432390246540308,0.614501953125,0.35003799572587013,B_dynamic_cost0
ckpt_iter_100.pt,100,6,308.78125,0.60308837890625,1.2525687962770462,0.125732421875,0.2475400771945715,0.1048583984375,0.20323298312723637,0.41650390625,0.30070046707987785,0.3529052734375,0.24852647259831429,B_dynamic_cost0
ckpt_iter_100.pt,100,7,263.9453125,0.5155181884765625,1.1926994919776917,0.1895751953125,0.25108943693339825,0.145751953125,0.2405578102916479,0.4185791015625,0.26669346913695335,0.24609375,0.24165929667651653,B_dynamic_cost0
ckpt_iter_100.pt,100,8,135.671875,0.264984130859375,1.223290964961052,0.166259765625,0.27603983879089355,0.720703125,0.3992268405854702,0.0980224609375,0.14150548540055752,0.0150146484375,0.18322782963514328,B_dynamic_cost0
ckpt_iter_300.pt,300,1,377.8359375,0.7379608154296875,1.0534047186374664,0.1275634765625,0.21698005497455597,0.1219482421875,0.15231627225875854,0.117919921875,0.21081608347594738,0.632568359375,0.41988759860396385,B_dynamic_cost0
ckpt_iter_300.pt,300,2,312.5,0.6103515625,1.0811736583709717,0.108154296875,0.20366103574633598,0.1832275390625,0.23483316600322723,0.315185546875,0.27869950979948044,0.3934326171875,0.28280628100037575,B_dynamic_cost0
