threshold,avg_layers_per_token,generation_avg_layers_per_token,tokens_sec,ms_token,loss,perplexity,agreement_with_full_model,false_confident_exit_rate,layer_saving_ratio,early_exit_rate,full_path_rate,exit_rate_layer_2,exit_rate_layer_3,exit_rate_layer_4,agreement_layer_2_vs_final,agreement_layer_3_vs_final,confidence_bin_0.5-0.6_agreement,confidence_bin_0.5-0.6_count,confidence_bin_0.6-0.7_agreement,confidence_bin_0.6-0.7_count,confidence_bin_0.7-0.8_agreement,confidence_bin_0.7-0.8_count,confidence_bin_0.8-0.9_agreement,confidence_bin_0.8-0.9_count,confidence_bin_0.9-1.0_agreement,confidence_bin_0.9-1.0_count
0.1,4.0,4.0,1128.6132148963025,0.886043142859957,3.5357414018239406,34.32045052860451,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0.5,4.0,4.0,1246.0320010362473,0.8025476064566257,3.5357414018239406,34.32045052860451,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0.95,4.0,4.0,1254.8176032059926,0.7969285714872447,3.5357414018239406,34.32045052860451,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
