difficulty_quintile,tokens,avg_active_cells,avg_active_edges,avg_fanin,avg_depth,graph_entropy
1,3277,25.523649679584985,84.87793713762588,3.325462392845614,5.9417149832163565,8.040645181588562
2,3277,24.4382056759231,73.37412267317669,3.002434943309525,5.369545315837656,8.034901525587802
3,3276,24.385836385836384,69.07203907203908,2.8324654516322854,5.3528693528693525,7.979721692211055
4,3277,24.14494964906927,58.14494964906927,2.4081619756581527,5.237412267317668,7.679523222918444
5,3277,23.82575526396094,60.50350930729326,2.539416217323924,5.158071406774489,7.815409675447437
