model,intervention,nll,ppl
dynamic,learned,2.027993679046631,7.59882537211545
dynamic,fixed_most_common,2.806709051132202,16.555345674210542
dynamic,global_request_shuffle,2.93333101272583,18.790116485216632
dynamic,same_token_shuffle,2.2444639205932617,9.435356100345766
dynamic,same_token_position_shuffle,2.2402918338775635,9.396072979775528
static_trained,native,2.0442123413085938,7.723072995989858
