node,step,cell,usage_frequency,mean_fanin,fanin_distribution,source_distribution,top_token_distribution,position_bucket_distribution,difficulty_quintile_usage,remove_delta_nll,add_gain_nll
10,2,2,0.73980712890625,3.4828809504166323,"{""1"": 0.020130352281164922, ""2"": 0.3056678491873608, ""3"": 0.19759095784176223, ""4"": 0.24865935153865193, ""5"": 0.1201221021367874, ""6"": 0.09174160547809587, ""7"": 0.01575777576107582, ""8"": 0.00033000577510106425}","[0.22333140829964523, 0.6349311112944477, 0.544179523141655, 0.49583367708934906, 0.5823776916096032, 0.11591452850424883, 0.2365316393036878, 0.38957181750680636, 0.2602095536671892, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [58, 763], [46, 761], [57, 687], [52, 687], [56, 677], [50, 474], [42, 428]]","{""0"": 1560, ""1"": 1521, ""2"": 1510, ""3"": 1525, ""4"": 1474, ""5"": 1484, ""6"": 1526, ""7"": 1521}","[0.820872749465975, 0.7494659749771132, 0.6984126984126984, 0.709490387549588, 0.7207812023191944]",0.011462350375950336,-0.019676832482218742
11,2,3,0.77642822265625,3.823834604197783,"{""1"": 0.033094882477792624, ""2"": 0.11139061394544454, ""3"": 0.3109818410502319, ""4"": 0.26059272069805833, ""5"": 0.16681078531561985, ""6"": 0.07719518905746403, ""7"": 0.024447763540602154, ""8"": 0.015093153054005189, ""9"": 0.0003930508607813851}","[0.2398396352488012, 0.7846867384639572, 0.5892618504834526, 0.6658281581636664, 0.40287713230091976, 0.21287634619919818, 0.3489505542017137, 0.23685244870686267, 0.34266174042921155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[43, 1367], [58, 919], [53, 881], [39, 844], [57, 755], [52, 704], [47, 685], [56, 677]]","{""0"": 1735, ""1"": 1616, ""2"": 1610, ""3"": 1553, ""4"": 1545, ""5"": 1550, ""6"": 1561, ""7"": 1551}","[0.8828196521208422, 0.8696978944156241, 0.811965811965812, 0.6115349404943546, 0.7061336588342997]",0.018076978623867035,-0.03128662705421448
12,3,0,0.79571533203125,3.974150494745724,"{""1"": 0.024085295696862775, ""2"": 0.1684436603513078, ""3"": 0.24591547135077088, ""4"": 0.226585870982588, ""5"": 0.158932269693948, ""6"": 0.09986960190227813, ""7"": 0.04471887704226433, ""8"": 0.022090971849351843, ""9"": 0.008284114443506942, ""10"": 0.0009204571603896602, ""11"": 0.00015340952673161004}","[0.20365114673621232, 0.48070875201350005, 0.5147656669479175, 0.6803712510546905, 0.4337654368336274, 0.15962261256424023, 0.2325688425251208, 0.39702385518140676, 0.16752320319091815, 0.19690112756002148, 0.1041650686507632, 0.1745800414205722, 0.22850349006673315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2399], [53, 857], [39, 842], [43, 823], [46, 761], [58, 697], [47, 681], [0, 656]]","{""0"": 1652, ""1"": 1641, ""2"": 1663, ""3"": 1639, ""4"": 1628, ""5"": 1617, ""6"": 1624, ""7"": 1573}","[0.7955447055233446, 0.7537381751602075, 0.8125763125763126, 0.8483368935001526, 0.7683857186451022]",0.00977126881480217,-0.059940602630376816
13,3,1,0.99114990234375,3.6010222304329083,"{""1"": 0.07697518320093602, ""2"": 0.2657183324096311, ""3"": 0.17051542582671347, ""4"": 0.17704292136215286, ""5"": 0.156659892850545, ""6"": 0.10302358519613276, ""7"": 0.03313011884968286, ""8"": 0.013239731510560996, ""9"": 0.003325327914280436, ""10"": 0.0003694808793644929}","[0.34183139355871667, 0.4464560625654289, 0.3482973089475953, 0.6233758236344602, 0.46086581686064415, 0.1720549294907322, 0.20703245273723753, 0.34053821048094096, 0.14415912309871298, 0.1841862183631997, 0.06084118480201983, 0.05868587967239362, 0.21269782622082642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 759], [57, 755], [52, 704]]","{""0"": 2036, ""1"": 2036, ""2"": 2027, ""3"": 2027, ""4"": 2030, ""5"": 2022, ""6"": 2024, ""7"": 2037}","[0.9728410131217577, 0.9975587427525175, 0.9978632478632479, 0.9938968568812938, 0.9935916997253585]",0.014591463841497898,-0.15075913071632385
14,3,2,0.89312744140625,3.6023371830793414,"{""1"": 0.047222032392537416, ""2"": 0.30930089523679355, ""3"": 0.17986742294813093, ""4"": 0.18355771202077495, ""5"": 0.1277250051254015, ""6"": 0.08597006765529966, ""7"": 0.03580947174195312, ""8"": 0.019271509601585458, ""9"": 0.00936240005467095, ""10"": 0.0019134832228524569}","[0.21786373265905828, 0.5590787945055696, 0.33656803116244105, 0.597690152395271, 0.31483632884575957, 0.18157589011139205, 0.17870566527711337, 0.37442766350030754, 0.21984555456844118, 0.22490261737169412, 0.053782546299460124, 0.10804346340463336, 0.23501674297819997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 1776, ""1"": 1768, ""2"": 1837, ""3"": 1853, ""4"": 1863, ""5"": 1849, ""6"": 1837, ""7"": 1850}","[0.8858712236801953, 0.8495575221238938, 0.8916361416361417, 0.9224900823924321, 0.9160817821177907]",0.008207746781408787,-0.0496196411550045
15,3,3,0.87548828125,3.447225320691578,"{""1"": 0.19213608477412158, ""2"": 0.18830172894590072, ""3"": 0.14452035694366983, ""4"": 0.17568321249302846, ""5"": 0.1388733965421082, ""6"": 0.1015755716675962, ""7"": 0.037785833798103734, ""8"": 0.016940881204684885, ""9"": 0.003485778025655326, ""10"": 0.0006971556051310652}","[0.2534857780256553, 0.29015616285554935, 0.32110987172336863, 0.4601226993865031, 0.5028583379810374, 0.14152258784160623, 0.20266313441160066, 0.3729782487451199, 0.28471834913552707, 0.21925543781372003, 0.06253485778025655, 0.1004601226993865, 0.23535973229224763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1367], [58, 919], [53, 882], [39, 844], [46, 761], [57, 755], [52, 704]]","{""0"": 1772, ""1"": 1782, ""2"": 1772, ""3"": 1806, ""4"": 1820, ""5"": 1804, ""6"": 1798, ""7"": 1790}","[0.9310344827586207, 0.8339945071711932, 0.8470695970695971, 0.9038754958803784, 0.8614586512053708]",0.0027931849472224712,-0.05324944481253624
16,4,0,0.8883056640625,2.900714580184142,"{""1"": 0.3087810911089735, ""2"": 0.16538408684897624, ""3"": 0.16469699051807063, ""4"": 0.15555860931702625, ""5"": 0.12360862992991617, ""6"": 0.05510512573862856, ""7"": 0.019032568366084926, ""8"": 0.007558059639961523, ""9"": 0.0002748385323622372}","[0.30445238422426824, 0.0, 0.0, 0.0, 0.0, 0.15617699601484128, 0.26109660574412535, 0.42297650130548303, 0.32520269341761715, 0.22942146488937748, 0.15727635014429023, 0.059227703724062115, 0.29380239109523154, 0.09035316751408548, 0.23182630204754706, 0.16737666620860245, 0.20152535385461043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1118], [58, 919], [53, 882], [39, 844], [46, 761], [47, 699], [0, 661]]","{""0"": 1875, ""1"": 1870, ""2"": 1840, ""3"": 1843, ""4"": 1825, ""5"": 1785, ""6"": 1771, ""7"": 1745}","[0.9142508391821789, 0.8489472078120232, 0.8830891330891331, 0.9331705828501679, 0.8620689655172413]",0.002830557292327285,-0.04195091500878334
17,4,1,0.78240966796875,3.052188158202668,"{""1"": 0.16249317419455495, ""2"": 0.269677821982994, ""3"": 0.2292690537483423, ""4"": 0.1457211951010219, ""5"": 0.11365941181059365, ""6"": 0.05015991887042671, ""7"": 0.023012715500429052, ""8"": 0.004992589125516811, ""9"": 0.0007800920508620017, ""10"": 0.0002340276152586005}","[0.2604727357828224, 0.0, 0.0, 0.0, 0.0, 0.08737030969654419, 0.22310632654653248, 0.39293236601919024, 0.37623839613074345, 0.1779389968016226, 0.15929479678602074, 0.08089554567438957, 0.3220219985958343, 0.11116311724783524, 0.48155082299711366, 0.1873781106170528, 0.19182463530696622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2367], [43, 1340], [58, 919], [53, 882], [39, 844], [46, 761], [57, 753], [52, 704]]","{""0"": 1460, ""1"": 1564, ""2"": 1586, ""3"": 1603, ""4"": 1674, ""5"": 1657, ""6"": 1636, ""7"": 1639}","[0.8040891058895331, 0.666768385718645, 0.764041514041514, 0.8574916081782118, 0.8196521208422337]",0.031223727390170097,-0.02714686095714569
18,4,2,0.68798828125,3.06458481192335,"{""1"": 0.14788857345635203, ""2"": 0.33055358410220015, ""3"": 0.1640347764371895, ""4"": 0.1761000709723208, ""5"": 0.08765081618168914, ""6"": 0.047551454932576294, ""7"": 0.03522001419446416, ""8"": 0.010113555713271823, ""9"": 0.0007984386089425125, ""10"": 8.87154009936125e-05}","[0.34430447125621005, 0.0, 0.0, 0.0, 0.0, 0.24103974449964513, 0.28885734563520227, 0.32771469127040453, 0.22107877927608233, 0.21336053938963803, 0.11036195883605394, 0.11808019872249823, 0.30145493257629524, 0.12162881476224273, 0.36985450674237047, 0.1896735273243435, 0.21717530163236337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2097], [43, 881], [57, 724], [56, 677], [0, 661], [53, 573], [39, 549], [58, 472]]","{""0"": 1513, ""1"": 1474, ""2"": 1438, ""3"": 1361, ""4"": 1316, ""5"": 1310, ""6"": 1390, ""7"": 1470}","[0.7332926457125419, 0.6185535550808666, 0.6599511599511599, 0.7107110161733292, 0.717424473603906]",0.01745760627090931,-0.051686402410268784
19,4,3,0.86395263671875,2.98382197103497,"{""1"": 0.2135641116213352, ""2"": 0.23871423525256094, ""3"": 0.21087954786294597, ""4"": 0.14284705051218652, ""5"": 0.11593076651359943, ""6"": 0.04924055104203462, ""7"": 0.018509360649947015, ""8"": 0.008830801836806783, ""9"": 0.0013422818791946308, ""10"": 0.00014129282938890852}","[0.3784528435181915, 0.0, 0.0, 0.0, 0.0, 0.18714235252560932, 0.2407629812787001, 0.42352525609325326, 0.19484281172730483, 0.2884493111974567, 0.12801130342635111, 0.08421052631578947, 0.2853408689509007, 0.111197456729071, 0.23412221829742141, 0.20762981278700107, 0.22013422818791947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 2405], [43, 1008], [58, 916], [39, 792], [46, 761], [53, 713], [52, 704], [47, 699]]","{""0"": 1936, ""1"": 1883, ""2"": 1864, ""3"": 1788, ""4"": 1750, ""5"": 1719, ""6"": 1665, ""7"": 1550}","[0.8709185230393652, 0.8214830637778456, 0.8617216117216118, 0.9090631675312786, 0.8565761367104059]",0.0004373765259515494,-0.006273375358432531
