node,step,cell,remove_delta_nll,add_gain_nll
0,0,0,0.024030517786741257,0.0
1,0,1,-0.0027765969280153513,-0.010790681466460228
2,0,2,0.015698468312621117,0.0
3,0,3,0.009563288651406765,-0.0715557262301445
4,1,0,0.010915874503552914,-0.07857903093099594
5,1,1,0.006000814959406853,-0.18537306785583496
6,1,2,0.03278949856758118,-0.09281313419342041
7,1,3,0.008931242860853672,-0.10837078839540482
8,2,0,0.012964179739356041,-0.03731291741132736
9,2,1,0.0030813158955425024,-0.049399834126234055
10,2,2,0.011462350375950336,-0.019676832482218742
11,2,3,0.018076978623867035,-0.03128662705421448
12,3,0,0.00977126881480217,-0.059940602630376816
13,3,1,0.014591463841497898,-0.15075913071632385
14,3,2,0.008207746781408787,-0.0496196411550045
15,3,3,0.0027931849472224712,-0.05324944481253624
16,4,0,0.002830557292327285,-0.04195091500878334
17,4,1,0.031223727390170097,-0.02714686095714569
18,4,2,0.01745760627090931,-0.051686402410268784
19,4,3,0.0004373765259515494,-0.006273375358432531
20,5,0,0.010367213748395443,-0.01036861538887024
21,5,1,0.007362117525190115,-0.028030626475811005
22,5,2,0.004342702683061361,-0.03913778066635132
23,5,3,0.00665408605709672,-0.03849644958972931
24,6,0,0.004166425205767155,-0.007609572261571884
25,6,1,0.014210774563252926,-0.04035187140107155
26,6,2,0.020456040278077126,-0.051629237830638885
27,6,3,-0.0007479931227862835,-0.02669643424451351
28,7,0,0.011011185124516487,-0.01955399662256241
29,7,1,0.08927825838327408,-0.12227979302406311
30,7,2,0.0011386718833819032,-0.11825770139694214
31,7,3,0.015326298773288727,-0.037720903754234314
