bigram_bucket,count,avg_stable_oracle_depth,avg_bigram_frequency
high,39920,3.7041082164328656,4649.561072144289
low,1860,4.577419354838709,56.560752688172045
medium,10987,4.091562755984345,503.63456812596706
rare,286,4.706293706293707,3.604895104895105
very_high,12483,2.8238404229752465,16054.209805335257
