bigram_bucket,count,avg_oracle_depth,avg_dynamic_exit_layer,oracle_early_rate,agreement_rate,avg_confidence
high,19927,3.135344005620515,7.950017564108998,0.9217142570381894,1.0,0.9995604459165109
low,911,3.642151481888035,7.997804610318331,0.8616904500548848,1.0,0.9999504522486916
medium,5533,3.2514006867883607,7.99891559732514,0.9146936562443521,1.0,0.9999887782002409
rare,140,3.1714285714285713,8.0,0.9357142857142857,1.0,1.0
very_high,6257,2.3787757711363273,7.918810931756433,0.9793830909381492,1.0,0.9989490396435009
