model,intervention,nll,ppl
learned,learned,2.0236939191818237,7.566222390486824
learned,fixed_most_common,2.234935909509659,9.345882850787113
learned,shuffled_request_routes,2.252527892589569,9.511750153490102
learned,canonical_current_only,2.8184832483530045,16.75142364436928
fixed_trained,native,2.001965321600437,7.40359224991567
edge_budget_trained,native,2.022617757320404,7.55808429025712
