step,graph_entropy,unique_graphs,top1_graph_coverage,top4_graph_coverage,top8_graph_coverage
0,-0.0,1,1.0,1.0,1.0
1,1.8274013675688767,28,0.353729248046875,0.81744384765625,0.95233154296875
2,3.2031684031282106,117,0.1492919921875,0.4561767578125,0.640594482421875
3,3.5251025934399713,169,0.143218994140625,0.400482177734375,0.569580078125
