bigram_bucket,count,avg_stable_oracle_depth,avg_bigram_frequency
high,39920,5.699899799599199,4649.561072144289
low,1860,6.616129032258065,56.560752688172045
medium,10987,6.325111495403659,503.63456812596706
rare,286,6.825174825174825,3.604895104895105
very_high,12483,4.743891692702075,16054.209805335257
