path,mean_ms,tokens_per_second,batch_size,block_size,tokens,dtype,accepted_fraction,graph_cache_entries,max_abs_diff_vs_dynamic,next_token_argmax_agreement
dynamic_layered,12.243979997583665,83632.93636563317,16,64,1024,float16,0.8125,2,1.130859375,1.0
direct_address_graph_dispatch,19.73411000071792,51889.84960369367,16,64,1024,float16,0.8125,2,1.130859375,1.0
