path,mean_ms,tokens_per_second,batch_size,block_size,tokens,dtype,accepted_fraction,graph_cache_entries,max_abs_diff_vs_dynamic,next_token_argmax_agreement
dynamic_layered,24.322760000941344,168401.9412205472,64,64,4096,float16,1.0,3,2.58984375,0.953125
direct_address_graph_dispatch,20.836411999480333,196578.95035393594,64,64,4096,float16,1.0,3,2.58984375,0.953125
