path,mean_ms,tokens_per_second,batch_size,block_size,tokens,dtype,accepted_fraction,graph_cache_entries,max_abs_diff_vs_dynamic,next_token_argmax_agreement
dynamic_layered,10.868183749335003,94219.97489347344,16,64,1024,float16,1.0,3,2.07421875,1.0
direct_address_graph_dispatch,7.769885000925569,131790.88234613749,16,64,1024,float16,1.0,3,2.07421875,1.0
