path,cross_entropy,perplexity,batches,batch_size,block_size
dynamic,2.1041849136352537,8.200416237357262,5,16,64
cached_exact,2.1041849136352537,8.200416237357262,5,16,64
cached_shared,2.158935546875,8.661912549604626,5,16,64
dense_full,2.1397480964660645,8.497296860155867,5,16,64
