path,cross_entropy,perplexity,batches,batch_size,block_size
dynamic,2.115966534614563,8.297601810970937,20,16,64
cached_exact,2.115966534614563,8.297601810970937,20,16,64
cached_shared,2.167725312709808,8.738384324745427,20,16,64
dense_full,2.1564972758293153,8.640818186373007,20,16,64
