path,mean_ms,median_ms,tokens_per_second,mean_active_atoms,mean_active_channels,mean_active_ratio,router_entropy,checkpoint,iter,batch_size,block_size,tokens,dtype,max_abs_diff_grouped_vs_dense_mask,width_128_fraction,width_256_fraction,width_512_fraction
dense_full,5.925179999921966,5.7461500000499655,168.77124408257131,8.0,512.0,1.0,0.0,ckpt.pt,900,1,1,1,float16,0.0,0.5,0.25,0.25
dense_mask,11.124523499820498,10.957200000120793,89.89149063473467,4.0,256.0,0.5,0.0,ckpt.pt,900,1,1,1,float16,0.0,0.5,0.25,0.25
grouped,6.408585500030313,6.249699999898439,156.0406738733953,4.0,256.0,0.5,0.0,ckpt.pt,900,1,1,1,float16,0.0,0.5,0.25,0.25
