path,cross_entropy,perplexity,batches,batch_size,block_size
dynamic,2.112033170461655,8.265028424943216,100,1,64
cached,2.112033170461655,8.265028424943216,100,1,64
dense_full,2.1452119040489195,8.543851522214892,100,1,64
