bigram_bucket,count,avg_oracle_depth,avg_dynamic_exit_layer,oracle_early_rate,agreement_rate,avg_confidence
high,39920,3.400250501002004,7.859218436873747,0.8697394789579158,1.0,0.998688227351837
low,1860,4.290322580645161,7.945161290322581,0.7510752688172043,1.0,0.9991284891802777
medium,10987,3.92645854191317,7.889323746245563,0.8260671702921635,1.0,0.9986177457575696
rare,286,4.118881118881119,8.0,0.7762237762237763,1.0,1.0
very_high,12483,2.6721140751421935,7.58583673796363,0.920612032364015,1.0,0.9961394234449639
