unigram_bucket,count,avg_oracle_depth,avg_dynamic_exit_layer,oracle_early_rate,agreement_rate,avg_confidence
high,8687,3.8924830206055026,7.962472660296996,0.8281339933233567,1.0,0.9996265495167896
medium,164,4.024390243902439,8.0,0.8170731707317073,1.0,1.0
very_high,56685,3.2235335626709007,7.905795183911088,0.8910822969039428,1.0,0.9990776689845208
