run,layer_2_agreement,layer_4_agreement,layer_6_agreement,avg_stable_oracle_depth,stable_oracle_rate_layer_2,stable_oracle_rate_layer_4,stable_oracle_rate_layer_6,stable_oracle_rate_layer_8,spearman_log_bigram_freq_stable_depth,bigram_high_stable_depth,bigram_low_stable_depth,bigram_medium_stable_depth,bigram_rare_stable_depth,bigram_very_high_stable_depth,final_ce_val_loss,final_ce_ppl
A_final_only,0.278656005859375,0.3826141357421875,0.5998382568359375,5.653533935546875,0.227081298828125,0.119232177734375,0.2535247802734375,0.4001617431640625,-0.270541906391548,5.699899799599199,6.616129032258065,6.325111495403659,6.825174825174825,4.743891692702075,1.735955746844411,5.67434845363652
B_aux_ce,0.66729736328125,0.7313232421875,0.8398284912109375,3.688079833984375,0.61651611328125,0.083099365234375,0.1402130126953125,0.1601715087890625,-0.22798848109473238,3.7213426853707414,4.543010752688172,4.269591335214344,4.7272727272727275,2.918689417607947,1.7699998524039984,5.870852494868183
C_distill,0.6875,0.743804931640625,0.83343505859375,3.63055419921875,0.636932373046875,0.077423095703125,0.11907958984375,0.16656494140625,-0.2255563389083251,3.7041082164328656,4.577419354838709,4.091562755984345,4.706293706293707,2.8238404229752465,1.7596185076981783,5.810220417188561
