bigram_bucket,count,avg_oracle_depth,avg_dynamic_exit_layer,oracle_early_rate,agreement_rate,avg_confidence
high,39920,3.1822645290581164,7.957965931863727,0.9117985971943888,1.0,0.999527684421482
low,1860,3.378494623655914,8.0,0.8935483870967742,1.0,1.0
medium,10987,3.162828797669974,7.999635933375807,0.9125329935378175,1.0,0.9999919116600116
rare,286,2.923076923076923,8.0,0.9300699300699301,1.0,1.0
very_high,12483,2.6455179043499157,7.999038692621966,0.9608267243451093,1.0,0.9999790334848604
