bigram_bucket,count,avg_oracle_depth,avg_dynamic_exit_layer,oracle_early_rate,agreement_rate,avg_confidence
high,39920,3.3737975951903807,7.915230460921844,0.875,1.0,0.9993897827360816
low,1860,3.821505376344086,7.970967741935484,0.8387096774193549,1.0,0.9994525804314562
medium,10987,3.745517429689633,7.96395740420497,0.8401747519796122,1.0,0.999661849444976
rare,286,5.265734265734266,8.0,0.6398601398601399,1.0,1.0
very_high,12483,2.623728270447809,7.853240406953456,0.9561002964031082,1.0,0.9978824670160275
