step,layer,width,path,nll,ppl,delta_nll,delta_ppl,compute_saved
3000,1,0,"[0, 512, 512, 512]",3.330353617668152,27.948222941468877,1.6450801134109496,22.55429694912422,1.0
3000,1,64,"[64, 512, 512, 512]",2.3936708768208823,10.953629656552357,0.7083973725636801,5.5597036642076985,0.875
3000,1,128,"[128, 512, 512, 512]",2.0481230060259503,7.753334477752877,0.3628495017687481,2.3594084854082187,0.75
3000,1,256,"[256, 512, 512, 512]",1.8307175993919373,6.238361697250781,0.1454440951347351,0.8444357049061226,0.5
3000,1,512,"[512, 512, 512, 512]",1.6852735042572022,5.393925992344658,0.0,0.0,0.0
3000,2,0,"[512, 0, 512, 512]",1.7143032511075338,5.552805253308313,0.02902974685033155,0.1588792609636549,1.0
3000,2,64,"[512, 64, 512, 512]",1.703636352221171,5.493888827552016,0.01836284796396881,0.09996283520735805,0.875
3000,2,128,"[512, 128, 512, 512]",1.6878934184710184,5.408076143717802,0.0026199142138161324,0.014150151373144126,0.75
3000,2,256,"[512, 256, 512, 512]",1.6873288035392762,5.405023525033201,0.00205529928207393,0.011097532688542522,0.5
3000,2,512,"[512, 512, 512, 512]",1.6852735042572022,5.393925992344658,0.0,0.0,0.0
3000,3,0,"[512, 512, 0, 512]",1.8713423291842142,6.497011676976467,0.18606882492701193,1.1030856846318091,1.0
3000,3,64,"[512, 512, 64, 512]",1.8168030460675557,6.152158808942365,0.13152954181035348,0.7582328165977064,0.875
3000,3,128,"[512, 512, 128, 512]",1.7655778447786967,5.844948855624278,0.08030434052149449,0.4510228632796194,0.75
3000,3,256,"[512, 512, 256, 512]",1.6888558467229207,5.413283534454984,0.0035823424657184244,0.01935754211032581,0.5
3000,3,512,"[512, 512, 512, 512]",1.6852735042572022,5.393925992344658,0.0,0.0,0.0
3000,4,0,"[512, 512, 512, 0]",2.0626126686731974,7.866495531631477,0.37733916441599513,2.4725695392868188,1.0
3000,4,64,"[512, 512, 512, 64]",1.9777044494946798,7.226135971253732,0.2924309452374776,1.8322099789090736,0.875
3000,4,128,"[512, 512, 512, 128]",1.8661074002583822,6.463089151092255,0.18083389600117994,1.069163158747597,0.75
3000,4,256,"[512, 512, 512, 256]",1.7045578837394715,5.498953952742448,0.019284379482269243,0.1050279603977895,0.5
3000,4,512,"[512, 512, 512, 512]",1.6852735042572022,5.393925992344658,0.0,0.0,0.0
